interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,85147353,124338507,488900,522561
ens38,85147353,124338507,488900,522561
ens38,85147473,124338639,488902,522563
ens38,85147473,124338639,488902,522563
ens38,85147473,124338639,488902,522563
ens38,85147473,124338639,488902,522563
ens38,85147473,124338639,488902,522563
ens38,85147473,124338639,488902,522563
ens38,85147623,124338729,488904,522564
ens38,85147623,124338729,488904,522564
ens38,85147623,124338729,488904,522564
ens38,85147623,124338729,488904,522564
ens38,85147743,124338861,488906,522566
ens38,85147743,124338861,488906,522566
ens38,85147743,124338861,488906,522566
ens38,85147743,124338861,488906,522566
ens38,85147743,124338861,488906,522566
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85148891,124339757,488909,522570
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149011,124339889,488911,522572
ens38,85149131,124340021,488913,522574
ens38,85149131,124340021,488913,522574
ens38,85149131,124340021,488913,522574
ens38,85149131,124340021,488913,522574
ens38,85149131,124340021,488913,522574
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150279,124340917,488916,522578
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150399,124341049,488918,522580
ens38,85150519,124341181,488920,522582
ens38,85150519,124341181,488920,522582
ens38,85150519,124341181,488920,522582
ens38,85150519,124341181,488920,522582
ens38,85150519,124341181,488920,522582
ens38,85151667,124342077,488923,522586
ens38,85151667,124342077,488923,522586
ens38,85151667,124342077,488923,522586
ens38,85151667,124342077,488923,522586
ens38,85151667,124342077,488923,522586
ens38,85151759,124342181,488924,522587
ens38,85151851,124342285,488925,522588
ens38,85151851,124342285,488925,522588
ens38,85151851,124342285,488925,522588
ens38,85151851,124342285,488925,522588
ens38,85151971,124342417,488927,522590
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152091,124342537,488929,522592
ens38,85152211,124342669,488931,522594
ens38,85152211,124342669,488931,522594
ens38,85152211,124342669,488931,522594
ens38,85152211,124342669,488931,522594
ens38,85152211,124342669,488931,522594
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153359,124343567,488934,522598
ens38,85153479,124343699,488936,522600
ens38,85153479,124343699,488936,522600
ens38,85153479,124343699,488936,522600
ens38,85153479,124343699,488936,522600
ens38,85153599,124349565,488938,522603
ens38,85153599,124349565,488938,522603
ens38,85153599,124349565,488938,522603
ens38,85153599,124349565,488938,522603
ens38,85153599,124349565,488938,522603
ens38,85154457,124349841,488944,522607
ens38,85154643,124350105,488947,522611
