interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,85439907,124793068,491056,524724
ens38,85439967,124793068,491057,524724
ens38,85439967,124793068,491057,524724
ens38,85441115,124793964,491060,524728
ens38,85441115,124793964,491060,524728
ens38,85446697,124799245,491075,524742
ens38,85455115,124832570,491094,524772
ens38,85460577,124837312,491105,524790
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85460637,124837807,491106,524791
ens38,85461177,124838317,491114,524798
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461297,124838383,491116,524799
ens38,85461597,124838713,491121,524804
ens38,85461657,124838779,491122,524805
ens38,85461657,124838779,491122,524805
ens38,85461657,124838779,491122,524805
ens38,85462865,124839675,491126,524809
ens38,85462865,124839675,491126,524809
ens38,85462865,124839675,491126,524809
ens38,85462865,124839675,491126,524809
ens38,85462865,124840196,491126,524811
ens38,85462865,124840196,491126,524811
ens38,85462985,124840328,491128,524813
ens38,85463045,124840394,491129,524814
ens38,85463045,124840394,491129,524814
ens38,85463045,124840394,491129,524814
ens38,85463225,124840592,491132,524817
ens38,85463225,124840592,491132,524817
ens38,85463225,124840592,491132,524817
ens38,85463225,124840592,491132,524817
ens38,85463225,124840592,491132,524817
ens38,85463225,124840592,491132,524817
ens38,85463345,124840724,491134,524819
ens38,85463405,124840790,491135,524820
ens38,85463405,124840790,491135,524820
ens38,85463405,124840790,491135,524820
ens38,85463585,124840988,491138,524823
ens38,85463585,124840988,491138,524823
ens38,85463585,124840988,491138,524823
ens38,85463585,124840988,491138,524823
ens38,85463585,124840988,491138,524823
ens38,85464793,124841884,491142,524827
ens38,85464853,124841950,491143,524828
ens38,85464853,124841950,491143,524828
ens38,85464853,124841950,491143,524828
ens38,85464853,124841950,491143,524828
ens38,85464973,124842082,491145,524830
ens38,85464973,124842082,491145,524830
ens38,85464973,124842082,491145,524830
ens38,85464973,124842082,491145,524830
ens38,85464973,124842082,491145,524830
ens38,85465153,124842280,491148,524833
ens38,85465213,124842346,491149,524834
ens38,85465213,124842346,491149,524834
ens38,85465213,124842346,491149,524834
ens38,85465213,124842346,491149,524834
ens38,85465333,124842478,491151,524836
ens38,85465333,124842478,491151,524836
ens38,85465333,124842478,491151,524836
ens38,85465333,124842478,491151,524836
ens38,85465333,124842478,491151,524836
ens38,85465663,124842766,491156,524840
ens38,85465723,124842832,491157,524841
ens38,85465723,124842832,491157,524841
ens38,85465723,124842832,491157,524841
ens38,85465723,124842832,491157,524841
ens38,85467051,124843860,491163,524847
ens38,85467171,124843980,491165,524849
ens38,85467171,124843980,491165,524849
ens38,85467171,124843980,491165,524849
ens38,85467171,124843980,491165,524849
ens38,85467231,124844046,491166,524850
ens38,85467231,124844046,491166,524850
ens38,85467231,124844046,491166,524850
ens38,85467231,124844046,491166,524850
ens38,85467231,124844046,491166,524850
ens38,85467471,124844310,491170,524854
ens38,85467471,124844310,491170,524854
ens38,85467471,124844310,491170,524854
ens38,85467471,124844310,491170,524854
ens38,85467471,124844310,491170,524854
ens38,85467531,124844376,491171,524855
ens38,85467531,124844376,491171,524855
ens38,85467531,124844376,491171,524855
ens38,85467531,124844376,491171,524855
ens38,85467531,124844376,491171,524855
ens38,85467771,124844640,491175,524859
ens38,85467771,124844640,491175,524859
ens38,85467771,124844640,491175,524859
ens38,85467771,124844640,491175,524859
ens38,85467771,124844640,491175,524859
ens38,85469279,124851634,491184,524870
ens38,85469279,124851634,491184,524870
ens38,85469279,124851634,491184,524870
ens38,85469279,124851634,491184,524870
ens38,85469279,124851634,491184,524870
ens38,85469339,124851700,491185,524871
ens38,85469339,124851700,491185,524871
ens38,85469339,124851700,491185,524871
ens38,85469339,124851700,491185,524871
ens38,85470263,124852042,491192,524876
ens38,85471433,124853924,491197,524881
ens38,85472357,124854266,491204,524886
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473467,124856082,491208,524890
ens38,85473527,124856148,491209,524891
ens38,85473527,124856148,491209,524891
ens38,85473707,124856346,491212,524894
