interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,82309181,121181858,473192,504813
ens38,82309181,121181858,473192,504813
ens38,82309181,121181949,473192,504814
ens38,82309301,121182081,473194,504816
ens38,82311183,121183591,473203,504825
ens38,82311183,121183591,473203,504825
ens38,82311183,121183682,473203,504826
ens38,82311423,121183862,473206,504828
ens38,82311633,121184043,473209,504830
ens38,82311633,121184043,473209,504830
ens38,82311633,121184134,473209,504831
ens38,82311633,121184134,473209,504831
ens38,82311633,121184225,473209,504832
ens38,82311753,121184357,473211,504834
ens38,82311753,121184436,473211,504835
ens38,82311753,121184436,473211,504835
ens38,82311753,121184515,473211,504836
ens38,82311753,121184515,473211,504836
ens38,82312901,121185490,473214,504841
ens38,82312901,121185490,473214,504841
ens38,82313213,121185821,473217,504844
ens38,82313213,121185821,473217,504844
ens38,82313363,121185990,473219,504846
ens38,82313363,121185990,473219,504846
ens38,82313363,121186069,473219,504847
ens38,82313363,121186069,473219,504847
ens38,82313363,121186148,473219,504848
ens38,82313363,121186148,473219,504848
ens38,82313483,121186359,473221,504851
ens38,82313483,121186359,473221,504851
ens38,82319191,121188316,473238,504866
ens38,82322048,121222689,473250,504888
ens38,82328882,121226791,473259,504900
ens38,82333185,121231847,473270,504917
ens38,82333185,121231938,473270,504918
ens38,82333185,121231938,473270,504918
ens38,82333185,121232029,473270,504919
ens38,82333185,121232029,473270,504919
ens38,82333185,121232120,473270,504920
ens38,82333185,121232120,473270,504920
ens38,82333185,121232211,473270,504921
ens38,82333185,121232211,473270,504921
ens38,82333185,121232302,473270,504922
ens38,82333545,121232698,473276,504928
ens38,82333545,121232789,473276,504929
ens38,82333545,121232789,473276,504929
ens38,82333703,121232978,473278,504931
ens38,82334011,121233174,473282,504933
ens38,82334851,121234049,473292,504942
ens38,82335241,121234357,473297,504946
ens38,82335241,121234448,473297,504947
ens38,82335241,121234448,473297,504947
ens38,82335241,121234539,473297,504948
ens38,82335601,121234935,473303,504954
ens38,82335601,121234935,473303,504954
ens38,82335601,121234935,473303,504954
ens38,82335601,121234935,473303,504954
ens38,82335601,121234935,473303,504954
ens38,82336809,121235831,473307,504958
ens38,82336809,121235831,473307,504958
ens38,82336809,121235831,473307,504958
ens38,82336809,121235831,473307,504958
ens38,82336809,121235831,473307,504958
ens38,82336989,121236029,473310,504961
ens38,82336989,121236029,473310,504961
ens38,82336989,121236029,473310,504961
ens38,82336989,121236029,473310,504961
ens38,82336989,121236029,473310,504961
ens38,82337327,121236357,473315,504965
ens38,82337537,121236789,473318,504969
ens38,82337537,121236789,473318,504969
ens38,82337537,121236789,473318,504969
ens38,82337537,121236789,473318,504969
ens38,82337717,121236987,473321,504972
ens38,82337717,121236987,473321,504972
ens38,82337717,121236987,473321,504972
ens38,82337717,121236987,473321,504972
ens38,82337717,121236987,473321,504972
ens38,82337897,121237185,473324,504975
ens38,82337897,121237185,473324,504975
ens38,82337897,121237185,473324,504975
ens38,82337897,121237185,473324,504975
ens38,82337897,121237185,473324,504975
ens38,82338670,121237443,473328,504979
ens38,82339285,121238279,473331,504982
ens38,82339285,121238279,473331,504982
ens38,82339285,121238279,473331,504982
ens38,82339285,121238279,473331,504982
ens38,82339405,121238411,473333,504984
ens38,82339405,121238411,473333,504984
ens38,82339405,121238411,473333,504984
ens38,82339405,121238411,473333,504984
ens38,82339405,121238411,473333,504984
ens38,82339465,121238477,473334,504985
ens38,82339645,121238675,473337,504988
ens38,82339645,121238675,473337,504988
ens38,82339645,121238675,473337,504988
ens38,82339645,121238675,473337,504988
ens38,82339765,121238807,473339,504990
ens38,82339765,121238807,473339,504990
ens38,82339765,121238807,473339,504990
ens38,82339765,121238807,473339,504990
ens38,82339765,121238807,473339,504990
ens38,82339825,121238873,473340,504991
ens38,82340005,121239071,473343,504994
ens38,82340005,121239071,473343,504994
ens38,82340065,121244983,473344,504998
ens38,82340065,121244983,473344,504998
ens38,82340305,121245235,473348,505002
ens38,82341393,121246131,473350,505006
ens38,82341513,121246131,473352,505006
ens38,82341513,121246131,473352,505006
ens38,82341513,121246131,473352,505006
ens38,82342433,121246473,473359,505011
ens38,82343603,121248347,473364,505016
ens38,82344522,121248689,473371,505021
ens38,82345572,121250435,473374,505024
ens38,82345632,121250435,473375,505024
ens38,82345692,121250501,473376,505025
ens38,82345692,121250501,473376,505025
ens38,82345692,121250501,473376,505025
ens38,82345692,121250501,473376,505025
ens38,82345692,121250501,473376,505025
ens38,82345692,121250501,473376,505025
ens38,82345752,121250567,473377,505026
ens38,82345752,121250567,473377,505026
ens38,82345872,121250699,473379,505028
ens38,82345932,121250765,473380,505029
ens38,82345992,121250831,473381,505030
ens38,82345992,121250831,473381,505030
ens38,82345992,121250831,473381,505030
ens38,82345992,121250831,473381,505030
ens38,82345992,121250831,473381,505030
ens38,82346112,121250951,473383,505032
ens38,82347260,121251853,473386,505036
ens38,82347380,121251913,473388,505037
ens38,82347440,121251979,473389,505038
ens38,82347440,121251979,473389,505038
ens38,82347440,121251979,473389,505038
ens38,82347440,121251979,473389,505038
ens38,82347440,121251979,473389,505038
