interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470049,121658397,474683,506268
ens38,82470660,121658583,474687,506271
ens38,82471924,121659655,474696,506278
ens38,82488429,121671283,474758,506334
ens38,82488885,121671343,474760,506335
ens38,82489940,121686031,474765,506347
ens38,82492779,121706984,474777,506363
ens38,82499674,121708829,474794,506378
ens38,82504538,121716121,474806,506395
ens38,82505648,121717548,474810,506400
ens38,82505648,121717548,474810,506400
ens38,82505648,121717548,474810,506400
ens38,82505648,121717548,474810,506400
ens38,82505738,121717638,474811,506401
ens38,82505798,121717638,474812,506401
ens38,82505798,121717638,474812,506401
ens38,82505798,121717638,474812,506401
ens38,82506110,121717890,474815,506403
ens38,82506290,121718088,474818,506406
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506470,121718286,474821,506409
ens38,82506650,121718484,474824,506412
ens38,82506830,121718682,474827,506415
ens38,82506830,121718682,474827,506415
ens38,82506830,121718682,474827,506415
ens38,82506830,121718682,474827,506415
ens38,82506830,121718682,474827,506415
ens38,82508038,121719578,474831,506419
ens38,82508038,121719578,474831,506419
ens38,82508038,121719578,474831,506419
ens38,82508038,121719578,474831,506419
ens38,82508218,121719776,474834,506422
ens38,82508218,121719776,474834,506422
ens38,82508218,121719776,474834,506422
ens38,82508218,121719776,474834,506422
ens38,82508218,121719776,474834,506422
ens38,82508278,121719836,474835,506423
ens38,82508458,121720034,474838,506426
ens38,82508800,121720376,474839,506427
ens38,82508800,121720376,474839,506427
ens38,82508800,121720376,474839,506427
ens38,82508980,121720574,474842,506430
ens38,82508980,121720574,474842,506430
ens38,82509040,121720634,474843,506431
ens38,82509040,121720634,474843,506431
ens38,82509040,121720634,474843,506431
ens38,82509040,121720634,474843,506431
ens38,82509220,121720832,474846,506434
ens38,82509220,121720832,474846,506434
ens38,82509220,121720832,474846,506434
ens38,82509220,121720832,474846,506434
ens38,82509400,121721030,474849,506437
ens38,82510608,121721926,474853,506441
ens38,82510608,121721926,474853,506441
ens38,82510608,121721926,474853,506441
ens38,82510608,121721926,474853,506441
ens38,82510608,121721926,474853,506441
ens38,82510608,121721926,474853,506441
ens38,82510880,121721926,474854,506441
ens38,82510880,121721926,474854,506441
ens38,82510880,121721926,474854,506441
ens38,82511060,121722124,474857,506444
ens38,82511240,121722322,474860,506447
ens38,82511240,121722322,474860,506447
ens38,82511240,121722322,474860,506447
ens38,82511240,121722322,474860,506447
ens38,82511240,121722322,474860,506447
ens38,82511240,121722322,474860,506447
ens38,82511240,121722322,474860,506447
ens38,82512301,121723338,474864,506451
ens38,82512361,121729250,474865,506455
ens38,82512541,121729448,474868,506458
ens38,82512601,121729514,474869,506459
ens38,82512601,121729514,474869,506459
ens38,82512601,121729514,474869,506459
ens38,82512601,121729514,474869,506459
ens38,82512961,121729874,474875,506465
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514169,121730710,474879,506468
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514349,121730908,474882,506471
ens38,82514529,121731106,474885,506474
ens38,82514529,121731106,474885,506474
ens38,82514529,121731106,474885,506474
ens38,82514529,121731106,474885,506474
ens38,82514529,121731106,474885,506474
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515737,121732004,474889,506478
ens38,82515917,121732202,474892,506481
ens38,82515917,121732202,474892,506481
ens38,82515917,121732202,474892,506481
ens38,82515917,121732202,474892,506481
ens38,82515917,121732202,474892,506481
ens38,82515977,121732262,474893,506482
ens38,82515977,121732262,474893,506482
ens38,82515977,121732262,474893,506482
ens38,82515977,121732262,474893,506482
ens38,82515977,121732262,474893,506482
ens38,82516157,121732460,474896,506485
ens38,82516157,121732460,474896,506485
ens38,82516157,121732460,474896,506485
ens38,82516157,121732460,474896,506485
ens38,82516157,121732460,474896,506485
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517365,121733356,474900,506489
ens38,82517545,121733554,474903,506492
ens38,82517545,121733554,474903,506492
ens38,82517545,121733554,474903,506492
ens38,82517545,121733554,474903,506492
ens38,82517545,121733554,474903,506492
ens38,82517605,121733614,474904,506493
ens38,82517605,121733614,474904,506493
ens38,82517605,121733614,474904,506493
ens38,82517605,121733614,474904,506493
ens38,82517605,121733614,474904,506493
ens38,82518694,121734154,474914,506501
ens38,82520869,121736957,474922,506509
ens38,82521779,121737299,474929,506514
ens38,82522889,121739027,474933,506517
ens38,82522889,121739027,474933,506517
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524097,121739922,474937,506521
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524277,121740120,474940,506524
ens38,82524457,121740318,474943,506527
ens38,82524457,121740318,474943,506527
ens38,82524457,121740318,474943,506527
ens38,82524517,121746230,474944,506531
ens38,82524517,121746230,474944,506531
ens38,82526635,121747469,474955,506540
ens38,82526635,121748306,474955,506541
ens38,82528656,121749599,474966,506549
ens38,82529706,121751329,474969,506552
ens38,82529766,121751389,474970,506553
ens38,82529766,121751389,474970,506553
ens38,82529766,121751389,474970,506553
ens38,82529766,121751389,474970,506553
ens38,82529766,121751389,474970,506553
ens38,82529766,121751389,474970,506553
ens38,82529950,121751597,474972,506555
ens38,82529950,121751597,474972,506555
ens38,82529950,121751597,474972,506555
ens38,82530070,121751729,474974,506557
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530130,121751795,474975,506558
ens38,82530250,121751927,474977,506560
ens38,82530310,121751993,474978,506561
ens38,82531518,121752890,474982,506565
ens38,82531518,121752890,474982,506565
ens38,82531518,121752890,474982,506565
ens38,82531518,121752890,474982,506565
ens38,82531518,121752890,474982,506565
ens38,82531518,121752890,474982,506565
ens38,82532431,121753232,474989,506570
ens38,82533541,121755026,474993,506574
ens38,82534454,121755368,475000,506579
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535564,121757163,475004,506583
ens38,82535744,121757361,475007,506586
ens38,82535744,121757361,475007,506586
ens38,82535744,121757361,475007,506586
ens38,82535744,121757361,475007,506586
ens38,82535744,121757361,475007,506586
ens38,82535744,121757361,475007,506586
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82536952,121758258,475011,506590
ens38,82537132,121758456,475014,506593
ens38,82538042,121758798,475021,506598
ens38,82538042,121758798,475021,506598
ens38,82539996,121760929,475031,506607
ens38,82540062,121760929,475032,506607
ens38,82541172,121762718,475036,506611
ens38,82541172,121762718,475036,506611
ens38,82541172,121762718,475036,506611
ens38,82541172,121762718,475036,506611
ens38,82541172,121762718,475036,506611
ens38,82541172,121762718,475036,506611
ens38,82541172,121762718,475036,506611
