interface,rx_bytes,tx_bytes,TX_rx_packets,tx_packets
ens38,75957135,114767172,436522,471753
ens38,75957135,114767172,436522,471753
ens38,75957135,114767172,436522,471753
ens38,75957315,114767370,436525,471756
ens38,75957683,114767932,436530,471761
ens38,75957683,114767932,436530,471761
ens38,75957683,114767932,436530,471761
ens38,75957683,114767932,436530,471761
ens38,75957803,114768064,436532,471763
ens38,75957863,114768130,436533,471764
ens38,75957863,114768130,436533,471764
ens38,75957863,114768130,436533,471764
ens38,75957863,114768130,436533,471764
ens38,75958043,114768328,436536,471767
ens38,75958043,114768328,436536,471767
ens38,75958043,114768328,436536,471767
ens38,75958043,114768328,436536,471767
ens38,75958043,114768328,436536,471767
ens38,75959311,114769290,436541,471772
ens38,75959311,114769290,436541,471772
ens38,75959311,114769290,436541,471772
ens38,75959311,114769290,436541,471772
ens38,75959311,114769290,436541,471772
ens38,75959431,114769422,436543,471774
ens38,75959431,114769422,436543,471774
ens38,75959431,114769422,436543,471774
ens38,75959431,114769422,436543,471774
ens38,75959431,114769422,436543,471774
ens38,75959671,114769686,436547,471778
ens38,75959671,114769686,436547,471778
ens38,75962095,114771783,436559,471790
ens38,75962095,114771783,436559,471790
ens38,75962095,114771783,436559,471790
ens38,75962215,114771915,436561,471792
ens38,75962215,114771915,436561,471792
ens38,75962215,114771915,436561,471792
ens38,75962215,114771915,436561,471792
ens38,75962215,114771915,436561,471792
ens38,75962455,114772179,436565,471796
ens38,75962455,114772179,436565,471796
ens38,75962953,114772557,436570,471799
ens38,75962953,114772557,436570,471799
ens38,75962953,114772557,436570,471799
ens38,75964401,114773705,436578,471807
ens38,75964401,114773705,436578,471807
ens38,75964401,114773705,436578,471807
ens38,75964401,114773705,436578,471807
ens38,75964401,114773705,436578,471807
ens38,75964521,114773837,436580,471809
ens38,75964521,114773837,436580,471809
ens38,75964521,114773837,436580,471809
ens38,75964521,114773837,436580,471809
ens38,75964521,114773837,436580,471809
ens38,75964701,114774035,436583,471812
ens38,75964701,114774035,436583,471812
ens38,75964701,114774035,436583,471812
ens38,75964701,114774035,436583,471812
ens38,75964701,114774035,436583,471812
ens38,75964821,114774167,436585,471814
ens38,75964821,114774167,436585,471814
ens38,75964821,114774167,436585,471814
ens38,75964821,114774167,436585,471814
ens38,75964821,114774167,436585,471814
ens38,75965001,114774365,436588,471817
ens38,75965001,114774365,436588,471817
ens38,75965001,114774365,436588,471817
ens38,75965001,114774365,436588,471817
ens38,75965001,114774365,436588,471817
ens38,75966329,114775393,436594,471823
ens38,75966329,114775393,436594,471823
ens38,75966329,114775393,436594,471823
ens38,75966329,114775393,436594,471823
ens38,75966329,114775393,436594,471823
ens38,75966449,114775525,436596,471825
ens38,75966449,114775525,436596,471825
ens38,75966449,114775525,436596,471825
