device_id;attr;value;ts
70645f;temperatura;19;2022-04-26T00:59:13.205Z
70645f;umidade;24;2022-04-26T00:59:13.205Z
70645f;tempo;1650934751680943000;2022-04-26T00:59:13.205Z
70645f;data;"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712";2022-04-26T00:59:13.205Z
70645f;temperatura;21;2022-04-26T00:59:14.563Z
70645f;umidade;8;2022-04-26T00:59:14.563Z
70645f;tempo;1650934752907748900;2022-04-26T00:59:14.563Z
70645f;data;"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712";2022-04-26T00:59:14.563Z
70645f;temperatura;5;2022-04-26T01:04:13.749Z
70645f;umidade;74;2022-04-26T01:04:13.749Z
70645f;tempo;1650935052234145000;2022-04-26T01:04:13.749Z
70645f;data;"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663";2022-04-26T01:04:13.749Z
70645f;temperatura;32;2022-04-26T01:04:15.109Z
70645f;umidade;99;2022-04-26T01:04:15.109Z
70645f;tempo;1650935053445246700;2022-04-26T01:04:15.109Z
70645f;data;"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663";2022-04-26T01:04:15.109Z
70645f;temperatura;38;2022-04-26T01:09:14.296Z
70645f;umidade;29;2022-04-26T01:09:14.296Z
70645f;tempo;1650935352774946300;2022-04-26T01:09:14.296Z
70645f;data;"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247";2022-04-26T01:09:14.296Z
70645f;temperatura;17;2022-04-26T01:09:15.660Z
70645f;umidade;51;2022-04-26T01:09:15.660Z
70645f;tempo;1650935353981780700;2022-04-26T01:09:15.660Z
70645f;data;"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247";2022-04-26T01:09:15.660Z
70645f;temperatura;37;2022-04-26T01:14:14.854Z
