ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
1,﻿2,11,11,2,2022-04-25-14:52:55,1650923575000055
2,2,10,11,2,2022-04-25-14:52:56,1650923576000056
3,2,15,12,1,2022-04-25-14:52:57,1650923577000057
4,2,10,11,2,2022-04-25-14:52:58,1650923578000058
5,2,11,10,2,2022-04-25-14:52:59,1650923579000059
6,2,15,11,1,2022-04-25-14:53:0,16509235800
7,2,11,11,2,2022-04-25-14:53:1,1650923581000001
8,2,10,10,2,2022-04-25-14:53:2,1650923582000002
9,2,15,11,1,2022-04-25-14:53:3,1650923583000003
10,2,10,10,2,2022-04-25-14:53:4,1650923584000004
11,2,11,10,2,2022-04-25-14:53:5,1650923585000005
12,2,16,13,1,2022-04-25-14:53:6,1650923586000006
13,2,10,11,2,2022-04-25-14:53:7,1650923587000007
14,1,8,6,1,2022-04-25-14:53:8,1650923588000008
15,3,19,17,3,2022-04-25-14:53:9,1650923589000009
16,1,4,5,2,2022-04-25-14:53:10,165092359000001
17,2,15,11,1,2022-04-25-14:53:11,1650923591000011
18,2,13,13,3,2022-04-25-14:53:12,1650923592000012
19,2,7,9,2,2022-04-25-14:53:13,1650923593000013
20,2,15,12,1,2022-04-25-14:53:14,1650923594000014
21,2,10,12,2,2022-04-25-14:53:15,1650923595000015
22,3,11,13,3,2022-04-25-14:53:16,1650923596000016
23,2,15,12,1,2022-04-25-14:53:17,1650923597000017
24,2,11,10,2,2022-04-25-14:53:18,1650923598000018
25,2,11,11,2,2022-04-25-14:53:19,1650923599000019
26,2,15,12,1,2022-04-25-14:53:20,165092360000002
27,2,10,11,2,2022-04-25-14:53:21,1650923601000021
28,2,12,12,3,2022-04-25-14:53:22,1650923602000022
29,2,16,12,1,2022-04-25-14:53:23,1650923603000023
30,2,10,10,2,2022-04-25-14:53:24,1650923604000024
31,1,8,6,1,2022-04-25-14:53:25,1650923605000025
32,3,17,15,3,2022-04-25-14:53:26,1650923606000026
33,0,2,2,0,2022-04-25-14:53:27,1650923607000027
34,3,17,16,3,2022-04-25-14:53:28,1650923608000028
35,3,16,14,3,2022-04-25-14:53:29,1650923609000029
36,1,5,8,2,2022-04-25-14:53:30,165092361000003
37,2,15,11,1,2022-04-25-14:53:31,1650923611000031
38,2,10,10,2,2022-04-25-14:53:32,1650923612000032
39,2,10,10,2,2022-04-25-14:53:33,1650923613000033
40,2,15,11,1,2022-04-25-14:53:34,1650923614000034
41,2,10,10,2,2022-04-25-14:53:35,1650923615000035
42,2,10,10,2,2022-04-25-14:53:36,1650923616000036
43,2,16,11,1,2022-04-25-14:53:37,1650923617000037
44,2,10,11,2,2022-04-25-14:53:38,1650923618000038
45,2,11,10,2,2022-04-25-14:53:39,1650923619000039
46,2,15,13,1,2022-04-25-14:53:40,165092362000004
47,3,15,15,3,2022-04-25-14:53:41,1650923621000041
48,1,8,6,1,2022-04-25-14:53:42,1650923622000042
49,3,17,15,3,2022-04-25-14:53:43,1650923623000043
50,1,6,8,2,2022-04-25-14:53:44,1650923624000044
51,2,12,8,1,2022-04-25-14:53:45,1650923625000045
52,3,16,14,3,2022-04-25-14:53:46,1650923626000046
