ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
1,﻿0,3,1,0,2022-04-26-3:21:40,165096850000004
2,0,5,3,0,2022-04-26-3:21:41,1650968501000041
3,0,1,1,0,2022-04-26-3:21:42,1650968502000042
4,1,7,6,1,2022-04-26-3:21:43,1650968503000043
5,0,2,2,0,2022-04-26-3:21:44,1650968504000044
6,2,12,10,2,2022-04-26-3:21:45,1650968505000045
7,2,11,9,2,2022-04-26-3:21:46,1650968506000046
8,0,1,1,0,2022-04-26-3:21:47,1650968507000047
9,0,1,1,0,2022-04-26-3:21:48,1650968508000048
10,0,2,1,0,2022-04-26-3:21:49,1650968509000049
11,0,1,1,0,2022-04-26-3:21:50,165096851000005
12,0,1,1,0,2022-04-26-3:21:51,1650968511000051
13,0,2,1,0,2022-04-26-3:21:52,1650968512000052
14,0,1,1,0,2022-04-26-3:21:53,1650968513000053
15,0,1,1,0,2022-04-26-3:21:54,1650968514000054
16,0,4,3,0,2022-04-26-3:21:55,1650968515000055
17,0,5,5,0,2022-04-26-3:21:56,1650968516000056
18,0,2,1,0,2022-04-26-3:21:57,1650968517000057
19,0,3,1,0,2022-04-26-3:21:58,1650968518000058
20,0,2,1,0,2022-04-26-3:21:59,1650968519000059
21,1,6,5,1,2022-04-26-3:22:0,16509685200
22,0,4,1,0,2022-04-26-3:22:1,1650968521000001
23,0,1,2,0,2022-04-26-3:22:2,1650968522000002
24,0,1,1,0,2022-04-26-3:22:3,1650968523000003
25,0,2,1,0,2022-04-26-3:22:4,1650968524000004
26,0,2,2,0,2022-04-26-3:22:5,1650968525000005
27,0,3,3,0,2022-04-26-3:22:6,1650968526000006
28,0,1,1,0,2022-04-26-3:22:7,1650968527000007
29,0,2,2,0,2022-04-26-3:22:8,1650968528000008
30,0,1,1,0,2022-04-26-3:22:9,1650968529000009
31,0,5,4,0,2022-04-26-3:22:10,165096853000001
32,0,1,1,0,2022-04-26-3:22:11,1650968531000011
33,0,1,1,0,2022-04-26-3:22:12,1650968532000012
34,0,1,1,0,2022-04-26-3:22:13,1650968533000013
35,0,1,1,0,2022-04-26-3:22:14,1650968534000014
36,0,2,2,0,2022-04-26-3:22:15,1650968535000015
37,0,4,4,0,2022-04-26-3:22:16,1650968536000016
38,0,2,1,0,2022-04-26-3:22:17,1650968537000017
39,0,2,1,0,2022-04-26-3:22:18,1650968538000018
40,0,3,1,0,2022-04-26-3:22:19,1650968539000019
41,0,6,4,0,2022-04-26-3:22:20,165096854000002
42,0,2,1,0,2022-04-26-3:22:21,1650968541000021
43,0,2,1,0,2022-04-26-3:22:22,1650968542000022
44,0,1,1,0,2022-04-26-3:22:23,1650968543000023
45,0,1,1,0,2022-04-26-3:22:24,1650968544000024
46,1,7,6,1,2022-04-26-3:22:25,1650968545000025
47,0,2,2,0,2022-04-26-3:22:26,1650968546000026
48,0,1,1,0,2022-04-26-3:22:27,1650968547000027
49,0,1,1,0,2022-04-26-3:22:28,1650968548000028
50,0,1,1,0,2022-04-26-3:22:29,1650968549000029
51,0,2,2,0,2022-04-26-3:22:30,165096855000003
52,0,2,1,0,2022-04-26-3:22:31,1650968551000031
53,0,1,1,0,2022-04-26-3:22:32,1650968552000032
54,0,1,1,0,2022-04-26-3:22:33,1650968553000033
55,0,2,1,0,2022-04-26-3:22:34,1650968554000034
56,0,5,5,0,2022-04-26-3:22:35,1650968555000035
57,0,3,2,0,2022-04-26-3:22:36,1650968556000036
58,0,3,1,0,2022-04-26-3:22:37,1650968557000037
59,0,3,2,0,2022-04-26-3:22:38,1650968558000038
60,0,2,1,0,2022-04-26-3:22:39,1650968559000039
61,0,5,2,0,2022-04-26-3:22:40,165096856000004
62,0,2,2,0,2022-04-26-3:22:41,1650968561000041
63,0,1,2,0,2022-04-26-3:22:42,1650968562000042
64,0,1,1,0,2022-04-26-3:22:43,1650968563000043
65,0,1,1,0,2022-04-26-3:22:44,1650968564000044
66,0,5,5,0,2022-04-26-3:22:45,1650968565000045
67,0,3,2,0,2022-04-26-3:22:46,1650968566000046
