ID, Temperatura, Umidade, Tempo, Data,Unix_time, Discrepancia ,  
1,26,0,0,,0,1650968503043091,1650968503043091.0
2,26,27,0,,0,1650968503043091,1650968503043091.0
3,26,27,0,,1650932501299876600,1650968503043091,-1.6492815327968335e+18
4,26,27,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932501299876600,1650968503043091,-1.6492815327968335e+18
5,5,27,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932501299876600,1650968504044648,-1.649281532795832e+18
6,5,51,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932501299876600,1650968504044648,-1.649281532795832e+18
7,5,51,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932502811717000,1650968504044648,-1.6492815343076726e+18
8,5,51,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932502811717000,1650968504044648,-1.6492815343076726e+18
9,2,51,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932502811717000,1650968623043532,-1.6492815341886735e+18
10,2,24,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932502811717000,1650968623043532,-1.6492815341886735e+18
11,2,24,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650932621941689000,1650968623043532,-1.6492816533186455e+18
12,2,24,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650932621941689000,1650968623043532,-1.6492816533186455e+18
