Time;KBIn;PktIn;KBOut;PktOut
17:52:50;0;1;0;1
17:52:51;1;4;1;5
17:52:52;0;1;0;1
17:52:53;0;1;0;1
17:52:54;1;8;1;6
17:52:55;2;11;2;11
17:52:56;2;10;2;11
17:52:57;2;15;1;12
17:52:58;2;10;2;11
17:52:59;2;11;2;10
17:53:00;2;15;1;11
17:53:01;2;11;2;11
17:53:02;2;10;2;10
17:53:03;2;15;1;11
17:53:04;2;10;2;10
17:53:05;2;11;2;10
17:53:06;2;16;1;13
17:53:07;2;10;2;11
17:53:08;1;8;1;6
17:53:09;3;19;3;17
17:53:10;1;4;2;5
17:53:11;2;15;1;11
17:53:12;2;13;3;13
17:53:13;2;7;2;9
17:53:14;2;15;1;12
17:53:15;2;10;2;12
17:53:16;3;11;3;13
17:53:17;2;15;1;12
17:53:18;2;11;2;10
17:53:19;2;11;2;11
17:53:20;2;15;1;12
17:53:21;2;10;2;11
17:53:22;2;12;3;12
17:53:23;2;16;1;12
17:53:24;2;10;2;10
17:53:25;1;8;1;6
17:53:26;3;17;3;15
17:53:27;0;2;0;2
17:53:28;3;17;3;16
17:53:29;3;16;3;14
17:53:30;1;5;2;8
17:53:31;2;15;1;11
17:53:32;2;10;2;10
17:53:33;2;10;2;10
17:53:34;2;15;1;11
17:53:35;2;10;2;10
17:53:36;2;10;2;10
17:53:37;2;16;1;11
17:53:38;2;10;2;11
17:53:39;2;11;2;10
17:53:40;2;15;1;13
17:53:41;3;15;3;15
17:53:42;1;8;1;6
17:53:43;3;17;3;15
17:53:44;1;6;2;8
17:53:45;2;12;1;8
17:53:46;3;16;3;14
17:53:47;1;4;2;8
17:53:48;2;16;1;12
17:53:49;2;10;2;10
17:53:50;2;10;2;10
17:53:51;2;16;1;12
17:53:52;2;10;2;10
17:53:53;2;10;2;10
17:53:54;2;15;1;12
17:53:55;2;10;2;10
17:53:56;2;11;2;10
17:53:57;2;15;1;12
17:53:58;2;13;3;13
17:53:59;1;8;1;7
17:54:00;3;18;3;15
17:54:01;1;6;2;7
17:54:02;2;12;1;9
17:54:03;3;17;3;15
17:54:04;1;3;2;5
17:54:05;2;16;1;13
17:54:06;3;15;3;15
17:54:07;2;10;2;10
17:54:08;2;15;1;11
17:54:09;2;10;2;10
17:54:10;2;11;2;12
17:54:11;2;15;1;12
17:54:12;2;10;2;11
17:54:13;2;10;2;10
17:54:14;2;15;1;11
17:54:15;2;10;2;10
17:54:16;1;10;1;7
17:54:17;3;18;3;15
17:54:18;2;9;2;11
17:54:19;1;10;1;6
17:54:20;3;17;3;15
17:54:21;1;3;2;5
17:54:22;2;15;1;12
17:54:23;2;13;3;14
17:54:24;2;7;2;8
17:54:25;2;15;1;11
17:54:26;2;11;2;11
17:54:27;2;11;2;10
17:54:28;2;16;1;11
17:54:29;2;10;2;10
17:54:30;2;10;2;11
17:54:31;3;18;2;16
17:54:32;2;10;2;11
17:54:33;1;8;1;8
17:54:34;3;17;2;14
17:54:35;2;9;2;10
17:54:36;1;10;1;6
17:54:37;3;17;3;15
17:54:38;1;4;2;5
17:54:39;2;15;1;11
17:54:40;3;16;3;15
17:54:41;1;5;2;8
17:54:42;2;16;1;12
17:54:43;2;10;2;11
17:54:44;2;10;2;11
17:54:45;2;15;1;12
17:54:46;2;10;2;10
17:54:47;2;10;2;10
17:54:48;2;15;1;11
17:54:49;2;10;2;10
17:54:50;2;11;2;11
17:54:51;2;16;1;14
17:54:52;2;10;3;13
17:54:53;1;8;1;7
17:54:54;3;17;3;16
17:54:55;1;6;2;8
17:54:56;3;15;2;13
17:54:57;4;19;3;15
17:54:58;1;3;2;5
17:54:59;2;15;1;11
17:55:00;2;10;2;10
17:55:01;2;10;2;10
17:55:02;2;16;1;11
17:55:03;2;10;3;11
17:55:04;2;10;2;11
17:55:05;2;15;1;13
17:55:06;2;11;2;12
17:55:07;2;10;2;11
17:55:08;2;15;1;12
17:55:09;3;13;2;10
17:55:10;1;8;1;7
17:55:11;3;17;2;16
17:55:12;2;12;3;13
17:55:13;1;8;1;7
17:55:14;3;17;3;15
17:55:15;1;3;2;5
17:55:16;2;15;1;11
17:55:17;3;14;2;12
17:55:18;2;8;2;8
17:55:19;2;15;1;11
17:55:20;2;10;2;10
17:55:21;3;15;3;16
17:55:22;2;15;1;12
17:55:23;2;10;2;12
17:55:24;2;11;2;11
17:55:25;2;15;1;12
17:55:26;2;10;2;11
17:55:27;1;9;2;10
17:55:28;2;16;1;13
17:55:29;2;10;2;12
17:55:30;1;8;1;7
17:55:31;3;19;3;17
17:55:32;1;4;2;6
17:55:33;2;15;1;12
17:55:34;3;16;3;16
17:55:35;1;4;2;6
17:55:36;2;15;1;12
17:55:37;2;10;2;11
17:55:38;2;10;2;11
17:55:39;2;15;1;11
17:55:40;2;10;2;10
17:55:41;2;11;2;11
17:55:42;2;15;1;11
17:55:43;2;10;2;11
17:55:44;2;10;2;10
17:55:45;2;15;1;13
17:55:46;3;13;3;14
17:55:47;1;8;1;6
17:55:48;3;17;3;15
17:55:49;1;4;2;6
17:55:50;2;14;1;10
17:55:51;3;17;3;16
17:55:52;1;3;2;6
17:55:53;2;16;1;13
17:55:54;2;10;2;10
17:55:55;2;10;2;10
17:55:56;2;16;1;12
17:55:57;2;10;2;10
17:55:58;2;10;2;10
17:55:59;2;15;1;11
17:56:00;2;10;2;10
17:56:01;2;10;2;11
17:56:02;2;15;1;12
17:56:03;2;10;2;11
17:56:04;2;10;2;9
17:56:05;2;16;1;12
17:56:06;2;10;2;11
17:56:07;1;9;1;6
17:56:08;3;17;3;15
17:56:09;1;3;2;5
17:56:10;2;15;1;11
17:56:11;3;13;3;16
17:56:12;2;10;2;11
17:56:13;2;15;1;12
17:56:14;2;10;2;10
17:56:15;2;10;2;10
