#Time;KBIn;PktIn;KBOut;PktOut
19:02:31;1;4;1;6
19:02:32;0;1;0;2
19:02:33;0;2;1;4
19:02:34;0;1;0;1
19:02:35;1;8;1;9
19:02:36;1;8;1;7
19:02:37;1;5;2;7
19:02:38;0;1;0;1
19:02:39;0;2;0;4
19:02:40;0;1;0;2
19:02:41;6;19;2;19
19:02:42;0;5;13;9
19:02:43;6;11;17;19
19:02:44;3;7;5;12
19:02:45;5;14;6;20
19:02:46;0;1;0;1
19:02:47;0;1;1;4
19:02:48;0;1;0;2
19:02:49;0;1;0;3
19:02:50;0;1;0;1
19:02:51;0;1;0;3
19:02:52;1;3;0;2
19:02:53;0;1;0;3
19:02:54;0;1;0;1
19:02:55;0;7;1;10
19:02:56;0;1;0;2
19:02:57;0;1;1;4
19:02:58;0;1;0;1
19:02:59;0;1;0;3
19:03:00;0;2;0;2
19:03:01;0;2;0;3
19:03:02;0;1;0;1
19:03:03;0;1;0;3
19:03:04;0;1;0;2
19:03:05;0;7;1;9
19:03:06;1;8;1;6
19:03:07;2;12;2;12
19:03:08;1;5;2;6
19:03:09;0;3;0;4
19:03:10;2;6;1;5
19:03:11;0;1;0;3
19:03:12;0;1;0;2
19:03:13;0;1;0;3
19:03:14;0;1;0;1
19:03:15;1;4;0;5
19:03:16;0;1;0;2
19:03:17;0;2;0;3
19:03:18;0;2;0;2
19:03:19;0;1;0;3
19:03:20;1;5;0;5
19:03:21;0;1;0;3
19:03:22;0;1;0;2
19:03:23;0;1;0;3
19:03:24;0;2;0;2
19:03:25;0;3;0;5
19:03:26;0;1;1;2
19:03:27;0;1;0;3
19:03:28;0;2;0;3
19:03:29;0;2;0;4
19:03:30;0;4;0;5
19:03:31;0;1;0;4
19:03:32;0;1;0;2
19:03:33;0;1;0;3
19:03:34;0;1;0;1
19:03:35;1;7;1;9
19:03:36;1;8;1;7
19:03:37;2;12;2;12
19:03:38;0;1;0;1
19:03:39;2;8;2;9
19:03:40;0;2;0;2
19:03:41;0;1;0;3
19:03:42;0;1;1;2
19:03:43;0;1;0;3
19:03:44;0;1;0;2
19:03:45;0;3;0;5
19:03:46;0;1;0;1
19:03:47;0;2;0;4
19:03:48;0;1;0;2
19:03:49;0;5;1;6
19:03:50;0;3;0;3
19:03:51;0;2;0;3
19:03:52;0;1;0;2
19:03:53;0;1;0;3
19:03:54;0;1;0;1
19:03:55;0;3;0;5
19:03:56;0;1;0;2
19:03:57;0;3;1;5
19:03:58;0;1;0;1
19:03:59;0;3;0;5
19:04:00;1;9;2;10
19:04:01;0;2;0;3
19:04:02;0;2;0;1
19:04:03;0;1;0;3
19:04:04;0;1;0;2
19:04:05;0;3;0;3
19:04:06;0;1;0;1
19:04:07;1;8;1;8
19:04:08;2;12;2;11
19:04:09;1;6;2;8
19:04:10;1;4;0;3
19:04:11;0;1;0;3
19:04:12;0;1;0;2
19:04:13;0;1;1;4
19:04:14;0;1;0;1
19:04:15;0;2;0;3
19:04:16;0;2;0;1
19:04:17;0;1;0;2
19:04:18;0;1;0;1
19:04:19;0;4;0;4
19:04:20;0;1;0;1
19:04:21;0;2;0;2
19:04:22;0;1;0;1
19:04:23;0;1;0;1
19:04:24;0;1;0;1
19:04:25;1;5;1;5
19:04:26;0;1;0;1
19:04:27;0;2;0;2
19:04:28;0;1;0;2
19:04:29;0;2;0;2
19:04:30;0;1;1;3
19:04:31;0;1;0;2
19:04:32;0;1;0;1
19:04:33;0;1;0;1
19:04:34;0;1;0;2
19:04:35;1;5;0;5
19:04:36;0;1;0;2
19:04:37;1;9;1;6
19:04:38;2;12;2;10
19:04:39;0;2;0;2
19:04:40;1;5;2;5
19:04:41;0;1;0;1
19:04:42;0;1;0;1
19:04:43;0;1;0;1
19:04:44;0;1;0;1
19:04:45;0;3;1;2
19:04:46;0;1;0;1
19:04:47;0;1;0;1
19:04:48;0;1;0;2
19:04:49;0;1;0;2
19:04:50;2;6;1;6
19:04:51;0;1;0;1
19:04:52;0;1;0;1
19:04:53;0;2;0;1
19:04:54;0;1;0;1
19:04:55;0;1;0;1
19:04:56;0;1;0;1
19:04:57;0;1;0;1
19:04:58;0;2;0;1
19:04:59;0;1;0;1
19:05:00;0;4;0;4
19:05:01;0;1;0;1
19:05:02;0;1;0;2
19:05:03;0;1;0;2
19:05:04;0;1;0;3
19:05:05;0;1;0;1
19:05:06;0;2;1;2
19:05:07;0;1;0;1
19:05:08;1;8;1;6
19:05:09;2;14;2;11
19:05:10;0;1;1;2
19:05:11;1;6;1;4
19:05:12;0;1;0;1
19:05:13;0;1;0;1
19:05:14;0;2;0;1
19:05:15;2;7;1;5
19:05:16;0;1;0;1
19:05:17;0;2;0;1
19:05:18;0;2;0;1
19:05:19;0;1;1;3
19:05:20;0;1;0;2
19:05:21;0;1;0;2
19:05:22;0;1;0;1
19:05:23;0;1;0;1
19:05:24;0;1;0;1
19:05:25;0;5;0;4
19:05:26;0;2;0;1
19:05:27;0;2;0;1
19:05:28;0;1;0;1
19:05:29;0;2;0;1
19:05:30;0;1;0;1
19:05:31;0;1;0;1
19:05:32;0;1;0;1
19:05:33;0;3;0;2
19:05:34;0;1;0;1
19:05:35;0;4;1;6
19:05:36;0;1;0;1
19:05:37;0;2;0;1
19:05:38;1;8;1;6
19:05:39;2;11;2;11
19:05:40;1;7;1;7
19:05:41;2;7;2;6
19:05:42;0;1;0;1
19:05:43;0;1;0;1
19:05:44;0;1;0;1
19:05:45;0;1;0;1
19:05:46;0;1;1;2
19:05:47;0;1;0;1
19:05:48;1;3;0;1
19:05:49;0;2;0;1
19:05:50;0;1;0;1
19:05:51;0;4;0;4
19:05:52;0;1;0;1
19:05:53;0;1;0;1
19:05:54;0;1;0;1
19:05:55;0;2;0;1
19:05:56;0;2;0;1
19:05:57;0;2;0;1
19:05:58;0;1;0;1
19:05:59;0;1;0;1
19:06:00;0;1;0;2
19:06:01;0;4;1;6
19:06:02;0;2;0;2
19:06:03;0;2;0;1
19:06:04;0;1;0;1
19:06:05;1;6;1;5
19:06:06;0;2;0;1
19:06:07;0;1;0;1
19:06:08;0;1;0;1
19:06:09;1;9;1;7
19:06:10;2;12;2;10
19:06:11;1;5;2;5
19:06:12;0;1;0;1
19:06:13;0;2;0;1
19:06:14;0;1;0;1
19:06:15;0;1;0;1
19:06:16;0;2;0;1
19:06:17;0;1;1;2
19:06:18;0;1;0;1
19:06:19;0;1;0;2
19:06:20;0;1;0;2
19:06:21;1;6;0;5
19:06:22;0;2;0;1
19:06:23;0;1;0;1
19:06:24;0;1;0;1
19:06:25;0;1;0;1
19:06:26;0;1;0;1
19:06:27;0;1;0;1
19:06:28;0;1;0;1
19:06:29;0;2;0;1
19:06:30;1;5;1;5
19:06:31;1;3;0;2
19:06:32;0;1;0;1
19:06:33;0;1;0;1
19:06:34;0;1;0;1
19:06:35;0;1;1;2
19:06:36;0;1;0;1
19:06:37;0;2;0;2
19:06:38;0;1;0;2
19:06:39;1;9;1;9
19:06:40;0;5;0;4
19:06:41;2;12;2;10
19:06:42;1;5;2;5
19:06:43;0;1;0;1
19:06:44;0;1;1;2
19:06:45;0;3;0;2
19:06:46;0;1;0;2
19:06:47;0;1;0;3
19:06:48;0;1;0;2
19:06:49;0;2;0;2
19:06:50;0;1;0;2
19:06:51;0;1;1;3
19:06:52;0;4;0;5
19:06:53;0;2;0;1
19:06:54;0;1;0;1
