device_id,attr,value,ts
70645f,temperatura,39,2022-04-25T19:38:36.774Z
70645f,umidade,15,2022-04-25T19:38:36.774Z
70645f,tempo,1650915515124894700,2022-04-25T19:38:36.774Z
70645f,data,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",2022-04-25T19:38:36.774Z
70645f,temperatura,25,2022-04-25T19:38:38.494Z
70645f,umidade,35,2022-04-25T19:38:38.494Z
70645f,tempo,1650915516797137200,2022-04-25T19:38:38.494Z
70645f,data,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",2022-04-25T19:38:38.494Z
70645f,temperatura,5,2022-04-25T19:39:37.255Z
70645f,umidade,17,2022-04-25T19:39:37.255Z
70645f,tempo,1650915575671301400,2022-04-25T19:39:37.255Z
70645f,data,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",2022-04-25T19:39:37.255Z
70645f,temperatura,1,2022-04-25T19:39:39.059Z
70645f,umidade,69,2022-04-25T19:39:39.059Z
70645f,tempo,1650915577348193000,2022-04-25T19:39:39.059Z
70645f,data,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",2022-04-25T19:39:39.059Z
70645f,temperatura,20,2022-04-25T19:40:37.807Z
70645f,umidade,24,2022-04-25T19:40:37.807Z
70645f,tempo,1650915636215911000,2022-04-25T19:40:37.807Z
70645f,data,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",2022-04-25T19:40:37.807Z
70645f,temperatura,17,2022-04-25T19:40:39.599Z
70645f,umidade,38,2022-04-25T19:40:39.599Z
70645f,tempo,1650915637905226200,2022-04-25T19:40:39.599Z
70645f,data,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",2022-04-25T19:40:39.599Z
70645f,temperatura,32,2022-04-25T19:41:38.358Z
70645f,umidade,53,2022-04-25T19:41:38.358Z
