ID, Temperatura, Umidade, Tempo, Data,Unix_time, Discrepancia ,  
1,3,0,0,,0,1650927754034964,1650927754034964.0
2,3,64,0,,0,1650927754034964,1650927754034964.0
3,3,64,0,,1650913352920689700,1650927754034964,-1.6492624251666547e+18
4,3,64,0,,1650913352920689700,1650927754034964,-1.6492624251666547e+18
5,6,64,0,,1650913352920689700,1650927755035773,-1.649262425165654e+18
6,6,80,0,,1650913352920689700,1650927755035773,-1.649262425165654e+18
7,6,80,0,,1650913354093950000,1650927755035773,-1.6492624263389143e+18
8,6,80,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650913354093950000,1650927755035773,-1.6492624263389143e+18
9,25,80,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650913354093950000,1650927785005189,-1.6492624263089446e+18
10,25,91,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650913354093950000,1650927785005189,-1.6492624263089446e+18
11,25,91,"1479626031,1895,2435,928722,1063358,344,287,108806,307576,344,287,108806,304680,286,344,179725,171070,1402,1770,821076,985167,1773,1412,620469,1390693,345,275,105128,302252,273,345,177230,165944,2366,1775,613594,1273122,3870,5124,1669523,2185488,296,365,174976,193695,367,296,121659,293712",,1650913383589626000,1650927785005189,-1.6492624558046208e+18
12,25,91,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650913383589626000,1650927785005189,-1.6492624558046208e+18
13,14,91,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650913383589626000,1650927786006313,-1.6492624558036198e+18
14,14,62,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650913383589626000,1650927786006313,-1.6492624558036198e+18
15,14,62,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650913384649342000,1650927786006313,-1.6492624568633357e+18
