ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;0;0;102;475;0;0;0;0;0;1;0;2;2022-04-30-19:53:35;1651348415000030,00
2;0;0;115;506;0;0;0;0;0;4;1;3;2022-04-30-19:53:36;1651348416000030,00
3;0;0;99;461;0;0;40;2;0;1;0;2;2022-04-30-19:53:37;1651348417000030,00
4;1;0;133;505;0;0;0;0;1;9;1;11;2022-04-30-19:53:38;1651348418000030,00
5;1;0;129;511;0;0;0;0;1;8;1;11;2022-04-30-19:53:39;1651348419000030,00
6;1;1;134;515;0;0;0;0;0;7;1;11;2022-04-30-19:53:40;165134842000004,00
7;1;0;132;501;0;0;0;0;0;7;1;11;2022-04-30-19:53:41;1651348421000040,00
8;2;1;135;515;0;0;12;2;1;8;1;11;2022-04-30-19:53:42;1651348422000040,00
9;2;1;127;511;0;0;0;0;0;7;1;11;2022-04-30-19:53:43;1651348423000040,00
10;1;1;134;522;0;0;0;0;0;7;1;11;2022-04-30-19:53:44;1651348424000040,00
11;1;1;131;504;0;0;0;0;1;8;1;11;2022-04-30-19:53:45;1651348425000040,00
12;1;0;143;517;0;0;48;11;0;7;1;11;2022-04-30-19:53:46;1651348426000040,00
13;1;0;130;513;0;0;12;2;0;7;1;11;2022-04-30-19:53:47;1651348427000040,00
14;0;0;138;515;0;0;0;0;1;8;1;11;2022-04-30-19:53:48;1651348428000040,00
15;1;1;133;520;0;0;0;0;0;7;1;11;2022-04-30-19:53:49;1651348429000040,00
16;1;1;131;509;0;0;0;0;0;7;1;11;2022-04-30-19:53:50;165134843000005,00
17;1;0;129;505;0;0;0;0;1;8;1;11;2022-04-30-19:53:51;1651348431000050,00
18;0;0;157;523;0;0;12;2;1;13;2;16;2022-04-30-19:53:52;1651348432000050,00
19;1;0;124;491;0;0;0;0;0;7;1;11;2022-04-30-19:53:53;1651348433000050,00
20;1;1;136;490;0;0;0;0;1;8;1;11;2022-04-30-19:53:54;1651348434000050,00
21;0;0;124;503;0;0;0;0;0;7;1;10;2022-04-30-19:53:55;1651348435000050,00
22;1;0;111;483;0;0;0;0;0;1;0;3;2022-04-30-19:53:56;1651348436000050,00
23;0;0;125;492;0;0;12;2;1;8;1;11;2022-04-30-19:53:57;1651348437000050,00
24;2;1;136;531;0;0;0;0;0;7;2;11;2022-04-30-19:53:58;1651348438000050,00
25;0;0;137;512;0;0;0;0;1;10;2;13;2022-04-30-19:53:59;1651348439000050,00
26;1;1;136;512;0;0;0;0;1;8;1;11;2022-04-30-19:54:0;16513484400,00
27;9;1;150;589;4;1;0;0;0;7;1;11;2022-04-30-19:54:1;1651348441000000,00
28;0;0;140;523;0;0;16;2;0;7;1;11;2022-04-30-19:54:2;1651348442000000,00
29;2;1;129;501;0;0;0;0;1;8;1;11;2022-04-30-19:54:3;1651348443000000,00
30;0;0;126;505;0;0;0;0;0;7;1;11;2022-04-30-19:54:4;1651348444000000,00
31;1;1;135;523;0;0;0;0;0;7;1;11;2022-04-30-19:54:5;1651348445000000,00
32;1;0;138;512;0;0;12;2;1;8;1;11;2022-04-30-19:54:6;1651348446000000,00
33;1;1;134;510;0;0;32;2;0;7;1;11;2022-04-30-19:54:7;1651348447000000,00
34;1;0;132;518;0;0;0;0;0;7;1;11;2022-04-30-19:54:8;1651348448000000,00
35;1;0;133;516;0;0;0;0;1;8;1;11;2022-04-30-19:54:9;1651348449000000,00
36;1;1;128;504;0;0;0;0;0;7;1;11;2022-04-30-19:54:10;165134845000001,00
37;1;0;128;503;0;0;0;0;0;7;1;11;2022-04-30-19:54:11;1651348451000010,00
38;1;1;141;507;0;0;12;2;1;8;1;11;2022-04-30-19:54:12;1651348452000010,00
39;0;0;128;463;0;0;0;0;0;7;1;11;2022-04-30-19:54:13;1651348453000010,00
40;1;0;136;513;0;0;0;0;0;7;1;11;2022-04-30-19:54:14;1651348454000010,00
41;1;0;157;569;0;0;0;0;1;8;1;11;2022-04-30-19:54:15;1651348455000010,00
42;2;2;135;473;0;0;0;0;0;7;1;11;2022-04-30-19:54:16;1651348456000010,00
43;0;0;132;504;0;0;12;2;0;7;1;11;2022-04-30-19:54:17;1651348457000010,00
44;0;0;134;524;0;0;0;0;1;8;2;13;2022-04-30-19:54:18;1651348458000010,00
45;1;0;131;512;0;0;0;0;1;8;1;11;2022-04-30-19:54:19;1651348459000010,00
46;2;1;134;516;0;0;0;0;0;7;2;11;2022-04-30-19:54:20;165134846000002,00
47;1;0;126;510;0;0;0;0;1;8;1;10;2022-04-30-19:54:21;1651348461000020,00
48;0;0;116;491;0;0;12;2;0;2;0;4;2022-04-30-19:54:22;1651348462000020,00
49;1;0;119;480;0;0;0;0;0;6;1;10;2022-04-30-19:54:23;1651348463000020,00
50;0;0;135;520;0;0;0;0;1;8;1;11;2022-04-30-19:54:24;1651348464000020,00
51;1;0;131;508;0;0;0;0;0;7;1;11;2022-04-30-19:54:25;1651348465000020,00
52;0;0;135;508;0;0;0;0;0;7;1;11;2022-04-30-19:54:26;1651348466000020,00
53;1;1;132;513;0;0;12;2;1;8;1;11;2022-04-30-19:54:27;1651348467000020,00
54;0;0;135;523;0;0;0;0;0;7;1;11;2022-04-30-19:54:28;1651348468000020,00
55;0;0;131;504;0;0;0;0;1;8;1;12;2022-04-30-19:54:29;1651348469000020,00
56;1;0;129;504;0;0;0;0;1;8;1;11;2022-04-30-19:54:30;165134847000003,00
57;2;1;135;521;0;0;0;0;0;7;1;11;2022-04-30-19:54:31;1651348471000030,00
58;1;1;136;513;0;0;56;7;0;7;1;11;2022-04-30-19:54:32;1651348472000030,00
59;0;0;129;497;0;0;0;0;1;8;1;11;2022-04-30-19:54:33;1651348473000030,00
60;1;1;127;515;0;0;0;0;0;7;1;11;2022-04-30-19:54:34;1651348474000030,00
61;1;0;129;509;0;0;0;0;0;7;1;11;2022-04-30-19:54:35;1651348475000030,00
62;1;0;131;507;0;0;0;0;1;8;1;11;2022-04-30-19:54:36;1651348476000030,00
63;0;0;126;524;0;0;32;3;0;7;1;11;2022-04-30-19:54:37;1651348477000030,00
64;0;0;135;515;0;0;0;0;0;7;1;11;2022-04-30-19:54:38;1651348478000030,00
65;1;1;134;513;0;0;0;0;1;8;1;11;2022-04-30-19:54:39;1651348479000030,00
66;1;0;135;504;0;0;0;0;0;7;1;11;2022-04-30-19:54:40;165134848000004,00
67;1;0;126;515;0;0;0;0;0;7;1;11;2022-04-30-19:54:41;1651348481000040,00
68;2;2;143;536;0;0;24;3;1;8;2;11;2022-04-30-19:54:42;1651348482000040,00
69;0;0;131;499;0;0;0;0;0;7;1;11;2022-04-30-19:54:43;1651348483000040,00
70;0;0;138;530;0;0;0;0;0;7;1;11;2022-04-30-19:54:44;1651348484000040,00
71;2;1;133;512;0;0;0;0;1;8;1;11;2022-04-30-19:54:45;1651348485000040,00
72;1;0;140;512;0;0;0;0;0;7;1;11;2022-04-30-19:54:46;1651348486000040,00
73;0;0;133;517;0;0;12;2;0;7;1;11;2022-04-30-19:54:47;1651348487000040,00
74;0;0;134;506;0;0;0;0;0;4;0;5;2022-04-30-19:54:48;1651348488000040,00
75;1;1;120;487;0;0;0;0;0;5;1;8;2022-04-30-19:54:49;1651348489000040,00
76;1;0;135;509;0;0;0;0;0;7;1;11;2022-04-30-19:54:50;165134849000005,00
77;2;1;129;517;0;0;0;0;1;8;1;11;2022-04-30-19:54:51;1651348491000050,00
78;0;0;144;523;0;0;12;2;0;7;1;11;2022-04-30-19:54:52;1651348492000050,00
79;1;0;126;498;0;0;0;0;0;7;1;11;2022-04-30-19:54:53;1651348493000050,00
80;1;1;137;526;0;0;0;0;1;8;1;11;2022-04-30-19:54:54;1651348494000050,00
81;0;0;136;503;0;0;0;0;0;7;1;11;2022-04-30-19:54:55;1651348495000050,00
82;1;1;132;507;0;0;0;0;0;7;1;11;2022-04-30-19:54:56;1651348496000050,00
83;1;1;133;521;0;0;12;2;1;8;1;11;2022-04-30-19:54:57;1651348497000050,00
84;1;0;136;516;0;0;0;0;1;8;1;11;2022-04-30-19:54:58;1651348498000050,00
85;1;1;126;502;0;0;0;0;1;8;1;12;2022-04-30-19:54:59;1651348499000050,00
86;1;1;135;522;0;0;0;0;1;8;1;11;2022-04-30-19:55:0;16513485000,00
87;8;2;147;567;0;0;0;0;0;7;1;11;2022-04-30-19:55:1;1651348501000000,00
88;0;0;136;515;0;0;16;2;0;7;1;11;2022-04-30-19:55:2;1651348502000000,00
89;1;1;124;508;0;0;0;0;1;8;1;11;2022-04-30-19:55:3;1651348503000000,00
90;0;0;134;521;0;0;0;0;0;7;2;11;2022-04-30-19:55:4;1651348504000000,00
91;1;0;133;512;0;0;0;0;0;7;1;11;2022-04-30-19:55:5;1651348505000000,00
92;1;1;142;524;0;0;0;0;1;8;1;11;2022-04-30-19:55:6;1651348506000000,00
93;1;0;139;510;0;0;28;6;0;7;1;11;2022-04-30-19:55:7;1651348507000000,00
94;0;0;141;520;0;0;0;0;0;7;1;11;2022-04-30-19:55:8;1651348508000000,00
95;1;0;129;509;0;0;0;0;1;8;1;11;2022-04-30-19:55:9;1651348509000000,00
96;1;0;132;514;0;0;0;0;0;7;1;11;2022-04-30-19:55:10;165134851000001,00
97;1;1;126;496;0;0;0;0;0;7;1;11;2022-04-30-19:55:11;1651348511000010,00
98;0;0;132;514;0;0;20;3;1;8;1;11;2022-04-30-19:55:12;1651348512000010,00
99;1;0;129;511;0;0;0;0;0;7;1;11;2022-04-30-19:55:13;1651348513000010,00
100;2;1;143;522;0;0;0;0;0;7;1;11;2022-04-30-19:55:14;1651348514000010,00
101;0;0;132;506;0;0;0;0;1;8;1;11;2022-04-30-19:55:15;1651348515000010,00
102;1;0;119;499;0;0;0;0;0;3;0;5;2022-04-30-19:55:16;1651348516000010,00
103;0;0;118;481;0;0;24;3;0;5;1;8;2022-04-30-19:55:17;1651348517000010,00
104;1;0;125;504;0;0;0;0;0;7;1;11;2022-04-30-19:55:18;1651348518000010,00
105;0;0;115;500;0;0;0;0;0;3;0;5;2022-04-30-19:55:19;1651348519000010,00
106;0;0;104;467;0;0;0;0;0;1;0;2;2022-04-30-19:55:20;165134852000002,00
107;1;0;102;461;0;0;0;0;0;2;0;2;2022-04-30-19:55:21;1651348521000020,00
108;0;0;109;483;0;0;12;2;0;1;0;2;2022-04-30-19:55:22;1651348522000020,00
109;0;0;104;459;0;0;0;0;0;1;0;2;2022-04-30-19:55:23;1651348523000020,00
110;0;0;108;472;0;0;0;0;0;2;0;2;2022-04-30-19:55:24;1651348524000020,00
111;0;0;104;475;0;0;0;0;0;1;0;2;2022-04-30-19:55:25;1651348525000020,00
112;0;0;109;476;0;0;0;0;0;1;0;2;2022-04-30-19:55:26;1651348526000020,00
113;1;0;112;477;0;0;12;2;0;2;0;2;2022-04-30-19:55:27;1651348527000020,00
114;0;0;103;477;0;0;0;0;0;1;0;2;2022-04-30-19:55:28;1651348528000020,00
115;0;0;107;467;0;0;0;0;0;2;0;3;2022-04-30-19:55:29;1651348529000020,00
116;1;1;107;466;0;0;0;0;0;2;0;2;2022-04-30-19:55:30;165134853000003,00
117;0;0;103;477;0;0;0;0;0;1;0;2;2022-04-30-19:55:31;1651348531000030,00
118;0;0;110;475;0;0;40;3;0;1;0;2;2022-04-30-19:55:32;1651348532000030,00
119;0;0;106;462;0;0;0;0;0;2;0;2;2022-04-30-19:55:33;1651348533000030,00
120;0;0;106;474;0;0;0;0;0;1;0;2;2022-04-30-19:55:34;1651348534000030,00
121;0;0;108;482;0;0;0;0;0;1;0;2;2022-04-30-19:55:35;1651348535000030,00
122;0;0;115;479;0;0;0;0;0;4;1;6;2022-04-30-19:55:36;1651348536000030,00
123;1;0;123;493;0;0;24;2;0;5;0;4;2022-04-30-19:55:37;1651348537000030,00
124;0;0;124;495;0;0;0;0;0;6;1;10;2022-04-30-19:55:38;1651348538000030,00
125;1;0;133;517;0;0;0;0;1;8;1;11;2022-04-30-19:55:39;1651348539000030,00
126;11;7;180;878;0;0;72;3;1;8;2;13;2022-04-30-19:55:40;165134854000004,00
127;2;1;134;505;0;0;0;0;0;7;1;11;2022-04-30-19:55:41;1651348541000040,00
128;1;0;142;521;0;0;0;0;1;8;1;12;2022-04-30-19:55:42;1651348542000040,00
129;2;1;131;516;0;0;0;0;0;7;1;11;2022-04-30-19:55:43;1651348543000040,00
130;0;0;143;526;0;0;0;0;1;8;1;12;2022-04-30-19:55:44;1651348544000040,00
131;1;0;145;523;0;0;16;2;1;9;1;12;2022-04-30-19:55:45;1651348545000040,00
132;0;0;142;526;0;0;0;0;0;7;1;12;2022-04-30-19:55:46;1651348546000040,00
133;2;1;143;508;0;0;68;15;0;7;1;11;2022-04-30-19:55:47;1651348547000040,00
134;1;1;135;521;0;0;0;0;1;8;2;11;2022-04-30-19:55:48;1651348548000040,00
135;0;0;132;516;0;0;0;0;0;7;1;11;2022-04-30-19:55:49;1651348549000040,00
136;2;1;137;517;0;0;0;0;1;8;1;12;2022-04-30-19:55:50;165134855000005,00
137;1;0;140;521;0;0;24;3;1;8;1;11;2022-04-30-19:55:51;1651348551000050,00
138;1;0;137;511;0;0;0;0;0;7;1;11;2022-04-30-19:55:52;1651348552000050,00
139;0;0;133;504;0;0;0;0;0;7;1;11;2022-04-30-19:55:53;1651348553000050,00
140;1;0;135;525;0;0;0;0;1;8;1;11;2022-04-30-19:55:54;1651348554000050,00
141;1;0;134;507;0;0;0;0;0;7;1;11;2022-04-30-19:55:55;1651348555000050,00
142;2;1;132;508;0;0;12;2;0;7;1;11;2022-04-30-19:55:56;1651348556000050,00
143;1;0;132;518;0;0;0;0;1;9;1;11;2022-04-30-19:55:57;1651348557000050,00
144;1;1;134;513;0;0;0;0;0;7;1;11;2022-04-30-19:55:58;1651348558000050,00
145;1;1;137;510;0;0;0;0;1;8;1;12;2022-04-30-19:55:59;1651348559000050,00
146;2;0;126;505;0;0;0;0;0;4;0;5;2022-04-30-19:56:0;16513485600,00
