ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;0;0;83;288;0;0;24;1;0;1;0;1;2022-04-30-19:53:34;1,65135E+15
2;1;1;97;317;0;0;0;0;0;3;1;3;2022-04-30-19:53:35;1,65135E+15
3;0;0;82;276;0;0;0;0;0;2;0;2;2022-04-30-19:53:36;1,65135E+15
4;0;0;111;308;0;0;0;0;0;7;1;11;2022-04-30-19:53:37;1,65135E+15
5;2;1;115;333;0;0;40;2;0;7;1;11;2022-04-30-19:53:38;1,65135E+15
6;0;0;111;340;0;0;0;0;1;8;1;11;2022-04-30-19:53:39;1,65135E+15
7;2;1;120;341;0;0;0;0;0;7;1;11;2022-04-30-19:53:40;1,65135E+14
8;0;0;108;319;0;0;0;0;0;7;1;11;2022-04-30-19:53:41;1,65135E+15
9;0;0;114;338;0;0;0;0;1;8;1;11;2022-04-30-19:53:42;1,65135E+15
10;1;1;119;346;0;0;12;2;0;7;1;11;2022-04-30-19:53:43;1,65135E+15
11;0;0;106;333;0;0;0;0;0;7;1;11;2022-04-30-19:53:44;1,65135E+15
12;2;1;109;326;0;0;0;0;1;8;1;11;2022-04-30-19:53:45;1,65135E+15
13;1;1;110;339;0;0;0;0;0;7;1;11;2022-04-30-19:53:46;1,65135E+15
14;1;1;119;328;0;0;0;0;0;7;1;11;2022-04-30-19:53:47;1,65135E+15
15;1;0;115;338;0;0;12;2;1;8;1;11;2022-04-30-19:53:48;1,65135E+15
16;1;0;112;332;0;0;0;0;0;7;1;11;2022-04-30-19:53:49;1,65135E+15
17;1;0;114;335;0;0;0;0;0;7;1;11;2022-04-30-19:53:50;1,65135E+14
18;0;0;107;334;0;0;0;0;1;8;1;11;2022-04-30-19:53:51;1,65135E+15
19;1;0;155;377;0;0;0;0;3;17;3;20;2022-04-30-19:53:52;1,65135E+15
20;1;0;120;346;0;0;32;2;0;7;1;11;2022-04-30-19:53:53;1,65135E+15
21;1;0;112;330;0;0;4;1;1;8;1;11;2022-04-30-19:53:54;1,65135E+15
22;2;2;115;323;0;0;0;0;0;7;1;11;2022-04-30-19:53:55;1,65135E+15
23;1;1;118;343;0;0;0;0;0;7;1;11;2022-04-30-19:53:56;1,65135E+15
24;1;0;99;335;0;0;0;0;0;5;1;5;2022-04-30-19:53:57;1,65135E+15
25;0;0;98;314;0;0;12;2;0;4;1;8;2022-04-30-19:53:58;1,65135E+15
26;1;1;108;326;0;0;0;0;0;7;1;11;2022-04-30-19:53:59;1,65135E+15
27;1;0;114;334;0;0;0;0;1;8;1;11;2022-04-30-19:54:0;16513484400
28;9;2;123;394;0;0;0;0;0;7;1;10;2022-04-30-19:54:1;1,65135E+15
29;1;1;110;325;0;0;0;0;0;7;1;11;2022-04-30-19:54:2;1,65135E+15
30;2;0;134;394;0;0;16;2;1;11;2;13;2022-04-30-19:54:3;1,65135E+15
31;1;0;110;333;0;0;4;1;0;7;1;11;2022-04-30-19:54:4;1,65135E+15
32;1;1;110;328;0;0;0;0;0;7;1;11;2022-04-30-19:54:5;1,65135E+15
33;1;1;104;326;0;0;0;0;1;8;1;11;2022-04-30-19:54:6;1,65135E+15
34;1;0;113;334;0;0;0;0;0;7;1;11;2022-04-30-19:54:7;1,65135E+15
35;0;0;114;349;0;0;48;3;0;7;1;11;2022-04-30-19:54:8;1,65135E+15
36;0;0;117;321;0;0;52;12;1;8;1;11;2022-04-30-19:54:9;1,65135E+15
37;1;0;111;336;0;0;0;0;0;7;1;11;2022-04-30-19:54:10;1,65135E+14
38;2;1;114;339;0;0;0;0;0;7;1;11;2022-04-30-19:54:11;1,65135E+15
39;0;0;109;323;0;0;0;0;1;8;1;11;2022-04-30-19:54:12;1,65135E+15
40;1;0;124;353;0;0;12;2;0;7;1;11;2022-04-30-19:54:13;1,65135E+15
41;2;2;106;329;0;0;0;0;0;7;1;11;2022-04-30-19:54:14;1,65135E+15
42;1;0;116;345;0;0;0;0;1;8;1;11;2022-04-30-19:54:15;1,65135E+15
43;0;0;107;316;0;0;0;0;0;7;1;11;2022-04-30-19:54:16;1,65135E+15
44;1;1;112;336;0;0;0;0;0;7;1;11;2022-04-30-19:54:17;1,65135E+15
45;2;0;162;443;0;0;12;2;1;10;1;11;2022-04-30-19:54:18;1,65135E+15
46;0;0;112;334;0;0;0;0;0;7;2;11;2022-04-30-19:54:19;1,65135E+15
47;2;0;115;349;0;0;0;0;0;7;1;11;2022-04-30-19:54:20;1,65135E+14
48;0;0;118;336;0;0;0;0;1;8;1;11;2022-04-30-19:54:21;1,65135E+15
49;1;0;106;324;0;0;0;0;0;7;1;11;2022-04-30-19:54:22;1,65135E+15
50;1;0;118;352;0;0;12;2;0;7;1;11;2022-04-30-19:54:23;1,65135E+15
51;0;0;99;323;0;0;0;0;0;3;0;3;2022-04-30-19:54:24;1,65135E+15
52;1;1;103;308;0;0;0;0;0;6;1;10;2022-04-30-19:54:25;1,65135E+15
53;1;0;111;331;0;0;0;0;0;7;1;11;2022-04-30-19:54:26;1,65135E+15
54;2;1;116;338;0;0;0;0;1;8;1;11;2022-04-30-19:54:27;1,65135E+15
55;0;0;115;344;0;0;36;2;0;7;1;11;2022-04-30-19:54:28;1,65135E+15
56;1;0;110;320;0;0;0;0;0;7;1;11;2022-04-30-19:54:29;1,65135E+15
57;1;0;117;333;0;0;0;0;1;8;1;11;2022-04-30-19:54:30;1,65135E+14
58;0;0;110;336;0;0;0;0;0;7;1;11;2022-04-30-19:54:31;1,65135E+15
59;1;1;103;333;0;0;0;0;0;7;1;11;2022-04-30-19:54:32;1,65135E+15
60;1;1;112;337;0;0;12;2;1;8;1;11;2022-04-30-19:54:33;1,65135E+15
61;1;0;107;330;0;0;28;2;0;7;1;11;2022-04-30-19:54:34;1,65135E+15
62;1;0;112;340;0;0;0;0;0;7;1;11;2022-04-30-19:54:35;1,65135E+15
63;0;0;112;322;0;0;0;0;1;8;1;11;2022-04-30-19:54:36;1,65135E+15
64;0;0;115;331;0;0;0;0;0;7;1;11;2022-04-30-19:54:37;1,65135E+15
65;1;0;116;351;0;0;24;2;0;7;1;11;2022-04-30-19:54:38;1,65135E+15
66;1;0;120;341;0;0;8;1;1;8;1;11;2022-04-30-19:54:39;1,65135E+15
67;1;0;116;336;0;0;0;0;0;7;1;11;2022-04-30-19:54:40;1,65135E+14
68;0;0;118;348;0;0;0;0;0;7;2;11;2022-04-30-19:54:41;1,65135E+15
69;1;0;107;339;0;0;0;0;1;8;1;11;2022-04-30-19:54:42;1,65135E+15
70;1;0;122;341;0;0;24;3;0;7;1;11;2022-04-30-19:54:43;1,65135E+15
71;1;1;116;340;0;0;0;0;0;7;1;11;2022-04-30-19:54:44;1,65135E+15
72;0;0;121;347;0;0;0;0;1;8;1;11;2022-04-30-19:54:45;1,65135E+15
73;1;0;107;330;0;0;0;0;0;7;1;11;2022-04-30-19:54:46;1,65135E+15
74;1;1;113;329;0;0;0;0;0;7;1;11;2022-04-30-19:54:47;1,65135E+15
75;1;0;133;362;0;0;12;2;1;8;1;11;2022-04-30-19:54:48;1,65135E+15
76;1;1;121;338;0;0;36;8;0;7;1;11;2022-04-30-19:54:49;1,65135E+15
77;1;0;100;327;0;0;0;0;0;5;1;10;2022-04-30-19:54:50;1,65135E+14
78;1;0;98;315;0;0;0;0;0;4;0;3;2022-04-30-19:54:51;1,65135E+15
79;1;0;111;322;0;0;0;0;0;7;1;11;2022-04-30-19:54:52;1,65135E+15
80;1;1;121;345;0;0;12;2;0;7;1;11;2022-04-30-19:54:53;1,65135E+15
81;1;1;115;335;0;0;0;0;1;8;1;11;2022-04-30-19:54:54;1,65135E+15
82;0;0;114;344;0;0;0;0;0;7;1;11;2022-04-30-19:54:55;1,65135E+15
83;0;0;111;331;0;0;0;0;0;7;1;11;2022-04-30-19:54:56;1,65135E+15
84;0;0;111;322;0;0;0;0;1;8;1;11;2022-04-30-19:54:57;1,65135E+15
85;1;1;121;353;0;0;12;2;0;7;1;11;2022-04-30-19:54:58;1,65135E+15
86;1;0;115;337;0;0;0;0;0;7;1;11;2022-04-30-19:54:59;1,65135E+15
87;1;0;112;328;0;0;0;0;1;8;1;11;2022-04-30-19:55:0;16513485000
88;8;3;125;400;0;0;0;0;0;7;1;11;2022-04-30-19:55:1;1,65135E+15
89;1;0;114;339;0;0;0;0;0;7;1;11;2022-04-30-19:55:2;1,65135E+15
90;1;1;117;352;0;0;16;2;1;8;2;11;2022-04-30-19:55:3;1,65135E+15
91;0;0;113;333;0;0;0;0;0;7;1;11;2022-04-30-19:55:4;1,65135E+15
92;1;0;110;336;0;0;0;0;0;7;1;11;2022-04-30-19:55:5;1,65135E+15
93;1;1;107;333;0;0;0;0;1;8;1;11;2022-04-30-19:55:6;1,65135E+15
94;1;0;111;322;0;0;0;0;0;7;1;11;2022-04-30-19:55:7;1,65135E+15
95;0;0;117;346;0;0;12;2;0;7;1;11;2022-04-30-19:55:8;1,65135E+15
96;1;0;119;346;0;0;0;0;1;8;1;11;2022-04-30-19:55:9;1,65135E+15
