ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;0;0;120;497;0;0;0;0;0;4;0;3;2022-04-30-3:31:36;1,65129E+15
2;2;1;120;507;0;0;0;0;0;5;1;10;2022-04-30-3:31:37;1,65129E+15
3;0;0;112;465;0;0;0;0;0;3;0;3;2022-04-30-3:31:38;1,65129E+15
4;0;0;107;482;0;0;40;2;0;2;0;2;2022-04-30-3:31:39;1,65129E+15
5;0;0;107;466;0;0;0;0;0;1;0;2;2022-04-30-3:31:40;1,65129E+14
6;1;0;101;470;0;0;0;0;0;1;0;2;2022-04-30-3:31:41;1,65129E+15
7;0;0;104;460;0;0;0;0;0;2;0;2;2022-04-30-3:31:42;1,65129E+15
8;0;0;99;457;0;0;0;0;0;1;0;2;2022-04-30-3:31:43;1,65129E+15
9;0;0;112;489;0;0;0;0;0;1;0;2;2022-04-30-3:31:44;1,65129E+15
10;0;0;105;470;0;0;12;2;0;1;0;2;2022-04-30-3:31:45;1,65129E+15
11;0;0;105;462;0;0;0;0;0;1;0;2;2022-04-30-3:31:46;1,65129E+15
12;0;0;100;467;0;0;0;0;0;1;0;2;2022-04-30-3:31:47;1,65129E+15
13;0;0;107;466;0;0;0;0;0;2;0;2;2022-04-30-3:31:48;1,65129E+15
14;0;0;103;474;0;0;0;0;0;1;0;2;2022-04-30-3:31:49;1,65129E+15
15;1;0;110;475;0;0;12;2;0;1;0;2;2022-04-30-3:31:50;1,65129E+14
16;1;1;103;473;0;0;0;0;0;2;0;2;2022-04-30-3:31:51;1,65129E+15
17;0;0;103;461;0;0;0;0;0;1;0;2;2022-04-30-3:31:52;1,65129E+15
18;0;0;101;461;0;0;0;0;0;1;0;2;2022-04-30-3:31:53;1,65129E+15
19;0;0;107;470;0;0;0;0;0;2;0;2;2022-04-30-3:31:54;1,65129E+15
20;0;0;103;479;0;0;12;2;0;1;0;2;2022-04-30-3:31:55;1,65129E+15
