ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;1;0;85;299;0;0;28;1;0;3;0;3;2022-04-30-3:31:35;1,65129E+15
2;1;1;90;314;0;0;0;0;0;5;1;5;2022-04-30-3:31:36;1,65129E+15
3;0;0;88;284;0;0;0;0;0;4;1;8;2022-04-30-3:31:37;1,65129E+15
4;0;0;76;266;0;0;0;0;0;1;0;2;2022-04-30-3:31:38;1,65129E+15
5;1;0;80;286;0;0;44;2;0;2;0;2;2022-04-30-3:31:39;1,65129E+15
6;0;0;79;293;0;0;0;0;0;1;0;2;2022-04-30-3:31:40;1,65129E+14
7;0;0;75;279;0;0;0;0;0;1;0;2;2022-04-30-3:31:41;1,65129E+15
8;0;0;71;280;0;0;0;0;0;2;0;2;2022-04-30-3:31:42;1,65129E+15
9;0;0;79;299;0;0;0;0;0;1;0;2;2022-04-30-3:31:43;1,65129E+15
10;0;0;76;284;0;0;12;2;0;1;0;2;2022-04-30-3:31:44;1,65129E+15
11;1;1;76;276;0;0;0;0;0;1;0;2;2022-04-30-3:31:45;1,65129E+15
12;0;0;74;285;0;0;0;0;0;1;0;2;2022-04-30-3:31:46;1,65129E+15
13;0;0;76;284;0;0;0;0;0;1;0;2;2022-04-30-3:31:47;1,65129E+15
14;1;0;76;288;0;0;0;0;0;2;0;2;2022-04-30-3:31:48;1,65129E+15
15;0;0;72;280;0;0;0;0;0;1;0;2;2022-04-30-3:31:49;1,65129E+15
16;1;0;75;286;0;0;12;2;0;1;0;2;2022-04-30-3:31:50;1,65129E+14
17;0;0;76;280;0;0;0;0;0;2;0;2;2022-04-30-3:31:51;1,65129E+15
18;0;0;74;280;0;0;0;0;0;1;0;2;2022-04-30-3:31:52;1,65129E+15
19;1;0;82;300;0;0;0;0;0;1;0;2;2022-04-30-3:31:53;1,65129E+15
20;0;0;60;258;0;0;0;0;0;2;0;2;2022-04-30-3:31:54;1,65129E+15
21;1;0;77;289;0;0;52;12;0;1;0;2;2022-04-30-3:31:55;1,65129E+15
22;0;0;71;281;0;0;0;0;0;1;0;2;2022-04-30-3:31:56;1,65129E+15
23;0;0;73;268;0;0;0;0;0;1;0;2;2022-04-30-3:31:57;1,65129E+15
24;0;0;76;303;0;0;0;0;0;1;0;2;2022-04-30-3:31:58;1,65129E+15
25;0;0;75;286;0;0;0;0;0;1;0;2;2022-04-30-3:31:59;1,65129E+15
26;1;0;84;300;0;0;12;2;0;2;0;2;2022-04-30-3:32:0;16512895200
27;12;2;97;372;0;0;0;0;0;1;0;2;2022-04-30-3:32:1;1,65129E+15
28;0;0;71;278;0;0;0;0;0;1;0;2;2022-04-30-3:32:2;1,65129E+15
29;1;0;82;302;0;0;0;0;0;2;0;2;2022-04-30-3:32:3;1,65129E+15
30;0;0;70;266;0;0;0;0;0;1;0;2;2022-04-30-3:32:4;1,65129E+15
31;0;0;77;287;0;0;24;4;0;1;0;2;2022-04-30-3:32:5;1,65129E+15
32;1;1;74;282;0;0;0;0;0;2;0;2;2022-04-30-3:32:6;1,65129E+15
33;0;0;75;274;0;0;0;0;0;1;0;2;2022-04-30-3:32:7;1,65129E+15
34;0;0;79;295;0;0;0;0;0;1;0;2;2022-04-30-3:32:8;1,65129E+15
35;0;0;73;281;0;0;0;0;0;2;0;2;2022-04-30-3:32:9;1,65129E+15
36;0;0;66;269;0;0;24;3;0;1;0;2;2022-04-30-3:32:10;1,65129E+14
37;1;0;68;281;0;0;0;0;0;1;0;2;2022-04-30-3:32:11;1,65129E+15
38;0;0;71;278;0;0;0;0;0;2;0;2;2022-04-30-3:32:12;1,65129E+15
39;0;0;76;285;0;0;0;0;0;1;0;2;2022-04-30-3:32:13;1,65129E+15
40;1;0;69;275;0;0;0;0;0;1;0;2;2022-04-30-3:32:14;1,65129E+15
41;1;0;88;307;0;0;12;2;0;2;0;2;2022-04-30-3:32:15;1,65129E+15
42;0;0;70;270;0;0;0;0;0;1;0;2;2022-04-30-3:32:16;1,65129E+15
43;0;0;86;294;0;0;0;0;0;3;0;4;2022-04-30-3:32:17;1,65129E+15
44;0;0;78;294;0;0;0;0;0;2;0;2;2022-04-30-3:32:18;1,65129E+15
45;0;0;78;286;0;0;0;0;0;1;0;2;2022-04-30-3:32:19;1,65129E+15
46;0;0;77;293;0;0;12;2;0;1;0;2;2022-04-30-3:32:20;1,65129E+14
47;1;0;83;296;0;0;0;0;0;2;0;2;2022-04-30-3:32:21;1,65129E+15
48;0;0;73;272;0;0;0;0;0;3;0;4;2022-04-30-3:32:22;1,65129E+15
49;0;0;82;298;0;0;0;0;0;1;0;2;2022-04-30-3:32:23;1,65129E+15
50;0;0;71;278;0;0;0;0;0;2;0;2;2022-04-30-3:32:24;1,65129E+15
51;0;0;78;289;0;0;0;0;0;1;0;2;2022-04-30-3:32:25;1,65129E+15
52;1;1;79;285;0;0;12;2;0;1;0;2;2022-04-30-3:32:26;1,65129E+15
53;0;0;77;286;0;0;0;0;0;2;0;2;2022-04-30-3:32:27;1,65129E+15
54;0;0;75;286;0;0;0;0;0;1;0;2;2022-04-30-3:32:28;1,65129E+15
55;1;0;73;273;0;0;0;0;0;1;0;2;2022-04-30-3:32:29;1,65129E+15
56;0;0;70;281;0;0;0;0;0;2;0;2;2022-04-30-3:32:30;1,65129E+14
57;1;0;81;296;0;0;12;2;0;1;0;2;2022-04-30-3:32:31;1,65129E+15
58;0;0;72;279;0;0;0;0;0;1;0;2;2022-04-30-3:32:32;1,65129E+15
59;0;0;79;289;0;0;0;0;0;2;0;2;2022-04-30-3:32:33;1,65129E+15
60;0;0;71;279;0;0;0;0;0;1;0;2;2022-04-30-3:32:34;1,65129E+15
