ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;0;0;112;469;0;0;0;0;0;2;0;3;2022-04-30-20:27:0;16513504200
2;10;1;162;611;4;1;0;0;0;7;2;11;2022-04-30-20:27:1;1,65135E+15
3;0;0;111;471;0;0;0;0;0;2;0;2;2022-04-30-20:27:2;1,65135E+15
4;0;0;110;477;0;0;36;2;0;1;0;2;2022-04-30-20:27:3;1,65135E+15
5;1;0;109;476;0;0;0;0;0;1;0;2;2022-04-30-20:27:4;1,65135E+15
6;0;0;107;480;0;0;0;0;0;2;0;2;2022-04-30-20:27:5;1,65135E+15
7;0;0;109;481;0;0;0;0;0;1;0;2;2022-04-30-20:27:6;1,65135E+15
8;0;0;108;463;0;0;0;0;0;1;0;2;2022-04-30-20:27:7;1,65135E+15
9;0;0;112;476;0;0;0;0;0;2;0;2;2022-04-30-20:27:8;1,65135E+15
10;0;0;113;488;0;0;40;9;0;1;0;2;2022-04-30-20:27:9;1,65135E+15
11;0;0;106;464;0;0;0;0;0;1;0;2;2022-04-30-20:27:10;1,65135E+14
12;1;0;104;465;0;0;0;0;0;2;0;2;2022-04-30-20:27:11;1,65135E+15
13;2;2;116;485;0;0;0;0;0;1;0;2;2022-04-30-20:27:12;1,65135E+15
14;0;0;102;468;0;0;0;0;0;1;0;2;2022-04-30-20:27:13;1,65135E+15
15;0;0;118;492;0;0;36;2;0;2;0;2;2022-04-30-20:27:14;1,65135E+15
16;0;0;101;460;0;0;0;0;0;1;0;2;2022-04-30-20:27:15;1,65135E+15
17;0;0;101;450;0;0;0;0;0;1;0;2;2022-04-30-20:27:16;1,65135E+15
18;1;0;100;457;0;0;0;0;0;2;0;2;2022-04-30-20:27:17;1,65135E+15
19;0;0;104;467;0;0;0;0;0;1;0;2;2022-04-30-20:27:18;1,65135E+15
20;0;0;106;476;0;0;12;2;0;1;0;2;2022-04-30-20:27:19;1,65135E+15
21;0;0;107;465;0;0;0;0;0;2;0;2;2022-04-30-20:27:20;1,65135E+14
22;0;0;93;455;0;0;0;0;0;1;0;2;2022-04-30-20:27:21;1,65135E+15
23;0;0;107;474;0;0;0;0;0;1;0;2;2022-04-30-20:27:22;1,65135E+15
24;0;0;101;467;0;0;0;0;0;2;0;2;2022-04-30-20:27:23;1,65135E+15
25;0;0;113;483;0;0;12;2;0;1;0;2;2022-04-30-20:27:24;1,65135E+15
26;0;0;101;464;0;0;0;0;0;1;0;2;2022-04-30-20:27:25;1,65135E+15
27;0;0;111;486;0;0;0;0;0;2;0;2;2022-04-30-20:27:26;1,65135E+15
28;0;0;97;457;0;0;0;0;0;1;0;2;2022-04-30-20:27:27;1,65135E+15
29;0;0;107;471;0;0;0;0;0;1;0;2;2022-04-30-20:27:28;1,65135E+15
30;0;0;107;486;0;0;16;3;0;2;0;2;2022-04-30-20:27:29;1,65135E+15
31;1;0;135;500;0;0;0;0;1;9;1;12;2022-04-30-20:27:30;1,65135E+14
32;0;0;102;472;0;0;0;0;0;1;0;2;2022-04-30-20:27:31;1,65135E+15
33;0;0;109;476;0;0;0;0;0;2;0;1;2022-04-30-20:27:32;1,65135E+15
34;0;0;99;458;0;0;0;0;0;1;0;2;2022-04-30-20:27:33;1,65135E+15
