ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;3;1;2099;3660;60;12;44;8;0;1;0;0;2022-04-30-2:11:17;1,65128E+15
2;3;1;2301;4207;104;6;0;0;0;2;0;1;2022-04-30-2:11:18;1,65128E+15
3;4;2;2055;3545;36;5;0;0;1;6;1;6;2022-04-30-2:11:19;1,65128E+15
4;20;14;6970;8794;17359;1847;9650;2052;2;17;1;10;2022-04-30-2:11:20;1,65128E+14
5;16;7;4223;7624;7028;950;264;28;1;5;2;5;2022-04-30-2:11:21;1,65128E+15
6;10;7;4128;5713;1448;39;12120;2079;0;2;0;1;2022-04-30-2:11:22;1,65128E+15
7;4;1;2247;3944;56;10;0;0;0;1;0;1;2022-04-30-2:11:23;1,65128E+15
8;4;2;2323;4057;32;5;0;0;0;2;0;1;2022-04-30-2:11:24;1,65128E+15
9;2;0;1951;3365;16;2;96;3;0;1;0;1;2022-04-30-2:11:25;1,65128E+15
10;3;2;2227;4101;16;4;0;0;0;1;0;1;2022-04-30-2:11:26;1,65128E+15
11;4;1;2094;3875;32;6;276;53;0;2;0;1;2022-04-30-2:11:27;1,65128E+15
12;4;1;2274;4094;24;2;0;0;0;1;0;1;2022-04-30-2:11:28;1,65128E+15
13;3;1;2001;3394;24;6;0;0;0;2;0;2;2022-04-30-2:11:29;1,65128E+15
14;5;2;2224;3844;176;31;500;13;0;2;0;1;2022-04-30-2:11:30;1,65128E+14
15;3;1;2265;4094;20;4;0;0;0;2;0;2;2022-04-30-2:11:31;1,65128E+15
16;5;3;3440;6630;633;27;541;82;0;1;0;1;2022-04-30-2:11:32;1,65128E+15
17;3;1;2181;3996;8;2;0;0;0;2;0;1;2022-04-30-2:11:33;1,65128E+15
18;4;2;2265;4007;36;5;0;0;0;1;0;1;2022-04-30-2:11:34;1,65128E+15
19;3;1;2059;3412;48;12;88;3;0;1;0;1;2022-04-30-2:11:35;1,65128E+15
20;4;2;2379;4201;8;2;0;0;0;2;0;1;2022-04-30-2:11:36;1,65128E+15
21;4;2;2277;3856;16;4;0;0;0;1;0;1;2022-04-30-2:11:37;1,65128E+15
22;3;1;2411;4283;56;9;0;0;0;1;0;1;2022-04-30-2:11:38;1,65128E+15
23;5;2;2431;3940;1211;284;0;0;0;5;0;2;2022-04-30-2:11:39;1,65128E+15
24;4;2;2439;4830;20;5;580;21;0;3;0;1;2022-04-30-2:11:40;1,65128E+14
25;28;17;3426;6681;968;34;17280;2033;0;3;0;2;2022-04-30-2:11:41;1,65128E+15
26;6;3;3094;5839;681;37;228;11;0;3;0;1;2022-04-30-2:11:42;1,65128E+15
27;3;2;2190;3935;20;4;0;0;0;1;0;1;2022-04-30-2:11:43;1,65128E+15
28;6;4;3008;4998;2761;411;36;5;1;4;1;5;2022-04-30-2:11:44;1,65128E+15
29;3;1;2030;3615;0;0;216;9;1;4;0;1;2022-04-30-2:11:45;1,65128E+15
30;3;1;2013;3652;12;3;0;0;0;1;0;1;2022-04-30-2:11:46;1,65128E+15
31;4;2;2053;3735;632;22;0;0;0;1;0;1;2022-04-30-2:11:47;1,65128E+15
32;3;1;2188;3988;208;15;0;0;0;2;0;1;2022-04-30-2:11:48;1,65128E+15
33;3;2;1926;3257;0;0;0;0;0;1;0;1;2022-04-30-2:11:49;1,65128E+15
34;5;1;2512;4964;48;12;504;17;0;1;0;1;2022-04-30-2:11:50;1,65128E+14
35;5;2;2136;3726;175;31;0;0;0;2;0;1;2022-04-30-2:11:51;1,65128E+15
36;7;4;3148;5983;337;42;2321;86;0;1;0;1;2022-04-30-2:11:52;1,65128E+15
37;3;2;2144;3993;8;2;0;0;0;1;0;1;2022-04-30-2:11:53;1,65128E+15
38;4;1;2204;3954;8;2;0;0;0;4;0;3;2022-04-30-2:11:54;1,65128E+15
39;5;2;2308;3876;112;26;4008;159;0;1;0;1;2022-04-30-2:11:55;1,65128E+15
40;3;2;1973;3693;8;2;0;0;0;1;0;1;2022-04-30-2:11:56;1,65128E+15
41;2;1;2026;3818;36;9;0;0;0;2;0;1;2022-04-30-2:11:57;1,65128E+15
42;5;3;2270;4136;4;1;0;0;0;1;0;1;2022-04-30-2:11:58;1,65128E+15
43;4;1;1877;3351;4;1;0;0;0;2;0;1;2022-04-30-2:11:59;1,65128E+15
44;5;2;2455;4772;24;6;573;19;0;4;0;1;2022-04-30-2:12:0;16512847200
45;6;3;2208;3804;955;178;1850;82;0;3;0;1;2022-04-30-2:12:1;1,65128E+15
46;5;2;2682;5157;20;5;420;86;0;2;0;1;2022-04-30-2:12:2;1,65128E+15
47;5;3;2658;4652;344;68;2608;105;0;2;0;1;2022-04-30-2:12:3;1,65128E+15
48;3;1;2181;3998;4;1;0;0;0;3;0;3;2022-04-30-2:12:4;1,65128E+15
49;5;3;2209;3946;8;2;64;3;0;1;0;1;2022-04-30-2:12:5;1,65128E+15
50;4;2;2274;3952;8;2;0;0;0;2;0;1;2022-04-30-2:12:6;1,65128E+15
51;3;1;2068;3674;84;10;48;11;0;1;0;2;2022-04-30-2:12:7;1,65128E+15
52;5;4;2859;4816;1184;229;1728;77;0;1;0;1;2022-04-30-2:12:8;1,65128E+15
53;4;2;2022;3664;52;13;0;0;1;5;1;5;2022-04-30-2:12:9;1,65128E+15
54;7;2;2681;4964;8;2;500;22;0;1;0;1;2022-04-30-2:12:10;1,65128E+14
55;6;3;2677;4417;1364;252;2528;81;0;1;0;1;2022-04-30-2:12:11;1,65128E+15
56;4;2;2600;4909;48;9;52;4;0;2;0;1;2022-04-30-2:12:12;1,65128E+15
57;5;3;2900;5551;56;3;180;6;0;1;0;1;2022-04-30-2:12:13;1,65128E+15
58;4;2;2226;4006;8;2;0;0;0;1;0;1;2022-04-30-2:12:14;1,65128E+15
59;2;1;2045;3696;24;6;84;3;0;2;0;1;2022-04-30-2:12:15;1,65128E+15
60;5;2;2058;3861;108;27;0;0;0;1;0;1;2022-04-30-2:12:16;1,65128E+15
61;5;2;2586;4747;32;8;8;1;0;1;0;1;2022-04-30-2:12:17;1,65128E+15
62;4;2;2313;4182;0;0;0;0;0;2;0;1;2022-04-30-2:12:18;1,65128E+15
63;3;1;1899;3183;8;2;0;0;0;4;0;3;2022-04-30-2:12:19;1,65128E+15
64;6;3;2619;5011;20;5;556;24;0;3;0;1;2022-04-30-2:12:20;1,65128E+14
65;7;2;2118;3758;44;11;0;0;0;4;0;1;2022-04-30-2:12:21;1,65128E+15
66;3;1;2246;4089;32;8;8;2;0;2;0;1;2022-04-30-2:12:22;1,65128E+15
67;7;4;3583;7197;188;28;380;25;0;1;0;1;2022-04-30-2:12:23;1,65128E+15
68;4;2;2254;3918;20;2;0;0;0;2;0;1;2022-04-30-2:12:24;1,65128E+15
69;3;1;1918;3345;24;5;72;3;0;1;0;1;2022-04-30-2:12:25;1,65128E+15
70;3;2;2094;3799;12;3;0;0;0;1;0;1;2022-04-30-2:12:26;1,65128E+15
71;3;1;2242;4008;8;2;20;4;0;2;0;1;2022-04-30-2:12:27;1,65128E+15
72;3;2;2433;4496;16;4;0;0;0;1;0;1;2022-04-30-2:12:28;1,65128E+15
73;3;1;1957;3435;4;1;0;0;0;3;0;3;2022-04-30-2:12:29;1,65128E+15
74;5;2;2094;3849;148;29;505;12;0;2;0;1;2022-04-30-2:12:30;1,65128E+14
75;4;2;2017;3569;20;4;0;0;0;1;0;1;2022-04-30-2:12:31;1,65128E+15
76;4;2;2656;4910;8;2;48;9;0;1;0;1;2022-04-30-2:12:32;1,65128E+15
77;5;4;3002;5924;140;10;196;6;0;2;0;1;2022-04-30-2:12:33;1,65128E+15
78;3;1;2154;3728;28;7;0;0;1;4;1;5;2022-04-30-2:12:34;1,65128E+15
79;3;1;1857;3266;8;2;92;3;0;1;0;1;2022-04-30-2:12:35;1,65128E+15
80;4;2;2108;3940;8;2;0;0;0;2;0;1;2022-04-30-2:12:36;1,65128E+15
81;3;2;2005;3618;20;4;344;72;0;1;0;1;2022-04-30-2:12:37;1,65128E+15
82;4;3;2154;4233;8;2;0;0;0;1;0;1;2022-04-30-2:12:38;1,65128E+15
83;2;1;1802;3218;8;2;0;0;0;3;0;1;2022-04-30-2:12:39;1,65128E+15
84;5;2;2390;4722;28;7;620;24;0;3;0;1;2022-04-30-2:12:40;1,65128E+14
85;21;13;3140;29843;20;5;7956;1265;0;3;0;1;2022-04-30-2:12:41;1,65128E+15
86;4;2;2227;3980;48;12;80;14;0;3;0;1;2022-04-30-2:12:42;1,65128E+15
87;6;3;2769;5410;60;8;224;7;0;1;0;1;2022-04-30-2:12:43;1,65128E+15
88;3;2;2173;4037;192;32;36;5;0;3;0;3;2022-04-30-2:12:44;1,65128E+15
89;4;2;2615;5091;372;35;236;16;0;2;0;1;2022-04-30-2:12:45;1,65128E+15
90;3;2;2165;3839;20;5;0;0;0;1;0;1;2022-04-30-2:12:46;1,65128E+15
91;3;2;2045;3880;12;3;8;2;0;1;0;1;2022-04-30-2:12:47;1,65128E+15
92;2;1;2212;4114;4;1;0;0;0;2;0;1;2022-04-30-2:12:48;1,65128E+15
93;3;1;1931;3330;12;3;0;0;0;1;0;1;2022-04-30-2:12:49;1,65128E+15
94;6;2;2336;4262;16;4;503;10;0;1;0;1;2022-04-30-2:12:50;1,65128E+14
