ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;7;4;2806;4923;8;2;0;0;0;1;0;0;2022-04-30-20:58:27;1,65135E+15
2;3;2;2407;4347;88;6;0;0;0;2;0;1;2022-04-30-20:58:28;1,65135E+15
3;3;1;2267;4049;0;0;8;2;0;1;0;1;2022-04-30-20:58:29;1,65135E+15
4;7;2;2959;5481;8;2;709;21;1;8;1;6;2022-04-30-20:58:30;1,65135E+14
5;7;4;2850;5718;72;18;252;28;2;11;2;10;2022-04-30-20:58:31;1,65135E+15
6;4;2;2332;4085;4;1;0;0;0;2;0;2;2022-04-30-20:58:32;1,65135E+15
7;4;2;2838;5234;64;4;168;6;0;1;0;1;2022-04-30-20:58:33;1,65135E+15
8;3;2;2096;3776;8;2;16;2;0;2;0;1;2022-04-30-20:58:34;1,65135E+15
9;4;2;1852;3224;0;0;112;3;0;1;0;1;2022-04-30-20:58:35;1,65135E+15
10;6;3;2714;4682;1113;278;0;0;0;1;0;1;2022-04-30-20:58:36;1,65135E+15
11;3;1;2075;3642;8;2;0;0;0;2;0;1;2022-04-30-20:58:37;1,65135E+15
12;3;1;2264;4232;28;7;0;0;0;1;0;1;2022-04-30-20:58:38;1,65135E+15
13;3;1;2049;3865;8;2;12;3;0;1;0;1;2022-04-30-20:58:39;1,65135E+15
14;6;2;2151;3989;0;0;524;10;0;2;0;1;2022-04-30-20:58:40;1,65135E+14
15;4;2;2088;3789;8;2;32;5;0;2;0;2;2022-04-30-20:58:41;1,65135E+15
16;2;1;1961;3758;4;1;0;0;0;2;0;2;2022-04-30-20:58:42;1,65135E+15
17;5;2;3082;5916;0;0;204;6;0;2;0;1;2022-04-30-20:58:43;1,65135E+15
18;3;1;2149;3857;32;8;96;17;0;1;0;1;2022-04-30-20:58:44;1,65135E+15
19;3;1;1966;3480;12;3;252;9;0;3;0;3;2022-04-30-20:58:45;1,65135E+15
