cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
0,0,102,475,0,0,0,0,0,1,0,2,2022-04-30,22:53:35
0,0,115,506,0,0,0,0,0,4,1,3,2022-04-30,22:53:36
0,0,99,461,0,0,40,2,0,1,0,2,2022-04-30,22:53:37
1,0,133,505,0,0,0,0,1,9,1,11,2022-04-30,22:53:38
1,0,129,511,0,0,0,0,1,8,1,11,2022-04-30,22:53:39
1,1,134,515,0,0,0,0,0,7,1,11,2022-04-30,22:53:40
1,0,132,501,0,0,0,0,0,7,1,11,2022-04-30,22:53:41
2,1,135,515,0,0,12,2,1,8,1,11,2022-04-30,22:53:42
2,1,127,511,0,0,0,0,0,7,1,11,2022-04-30,22:53:43
1,1,134,522,0,0,0,0,0,7,1,11,2022-04-30,22:53:44
1,1,131,504,0,0,0,0,1,8,1,11,2022-04-30,22:53:45
1,0,143,517,0,0,48,11,0,7,1,11,2022-04-30,22:53:46
1,0,130,513,0,0,12,2,0,7,1,11,2022-04-30,22:53:47
0,0,138,515,0,0,0,0,1,8,1,11,2022-04-30,22:53:48
1,1,133,520,0,0,0,0,0,7,1,11,2022-04-30,22:53:49
1,1,131,509,0,0,0,0,0,7,1,11,2022-04-30,22:53:50
1,0,129,505,0,0,0,0,1,8,1,11,2022-04-30,22:53:51
0,0,157,523,0,0,12,2,1,13,2,16,2022-04-30,22:53:52
1,0,124,491,0,0,0,0,0,7,1,11,2022-04-30,22:53:53
1,1,136,490,0,0,0,0,1,8,1,11,2022-04-30,22:53:54
0,0,124,503,0,0,0,0,0,7,1,10,2022-04-30,22:53:55
1,0,111,483,0,0,0,0,0,1,0,3,2022-04-30,22:53:56
0,0,125,492,0,0,12,2,1,8,1,11,2022-04-30,22:53:57
2,1,136,531,0,0,0,0,0,7,2,11,2022-04-30,22:53:58
0,0,137,512,0,0,0,0,1,10,2,13,2022-04-30,22:53:59
1,1,136,512,0,0,0,0,1,8,1,11,2022-04-30,22:54:00
9,1,150,589,4,1,0,0,0,7,1,11,2022-04-30,22:54:01
0,0,140,523,0,0,16,2,0,7,1,11,2022-04-30,22:54:02
2,1,129,501,0,0,0,0,1,8,1,11,2022-04-30,22:54:03
0,0,126,505,0,0,0,0,0,7,1,11,2022-04-30,22:54:04
1,1,135,523,0,0,0,0,0,7,1,11,2022-04-30,22:54:05
1,0,138,512,0,0,12,2,1,8,1,11,2022-04-30,22:54:06
1,1,134,510,0,0,32,2,0,7,1,11,2022-04-30,22:54:07
1,0,132,518,0,0,0,0,0,7,1,11,2022-04-30,22:54:08
1,0,133,516,0,0,0,0,1,8,1,11,2022-04-30,22:54:09
1,1,128,504,0,0,0,0,0,7,1,11,2022-04-30,22:54:10
1,0,128,503,0,0,0,0,0,7,1,11,2022-04-30,22:54:11
1,1,141,507,0,0,12,2,1,8,1,11,2022-04-30,22:54:12
0,0,128,463,0,0,0,0,0,7,1,11,2022-04-30,22:54:13
1,0,136,513,0,0,0,0,0,7,1,11,2022-04-30,22:54:14
1,0,157,569,0,0,0,0,1,8,1,11,2022-04-30,22:54:15
2,2,135,473,0,0,0,0,0,7,1,11,2022-04-30,22:54:16
0,0,132,504,0,0,12,2,0,7,1,11,2022-04-30,22:54:17
0,0,134,524,0,0,0,0,1,8,2,13,2022-04-30,22:54:18
1,0,131,512,0,0,0,0,1,8,1,11,2022-04-30,22:54:19
2,1,134,516,0,0,0,0,0,7,2,11,2022-04-30,22:54:20
1,0,126,510,0,0,0,0,1,8,1,10,2022-04-30,22:54:21
0,0,116,491,0,0,12,2,0,2,0,4,2022-04-30,22:54:22
1,0,119,480,0,0,0,0,0,6,1,10,2022-04-30,22:54:23
0,0,135,520,0,0,0,0,1,8,1,11,2022-04-30,22:54:24
1,0,131,508,0,0,0,0,0,7,1,11,2022-04-30,22:54:25
0,0,135,508,0,0,0,0,0,7,1,11,2022-04-30,22:54:26
1,1,132,513,0,0,12,2,1,8,1,11,2022-04-30,22:54:27
0,0,135,523,0,0,0,0,0,7,1,11,2022-04-30,22:54:28
0,0,131,504,0,0,0,0,1,8,1,12,2022-04-30,22:54:29
1,0,129,504,0,0,0,0,1,8,1,11,2022-04-30,22:54:30
2,1,135,521,0,0,0,0,0,7,1,11,2022-04-30,22:54:31
1,1,136,513,0,0,56,7,0,7,1,11,2022-04-30,22:54:32
0,0,129,497,0,0,0,0,1,8,1,11,2022-04-30,22:54:33
1,1,127,515,0,0,0,0,0,7,1,11,2022-04-30,22:54:34
1,0,129,509,0,0,0,0,0,7,1,11,2022-04-30,22:54:35
1,0,131,507,0,0,0,0,1,8,1,11,2022-04-30,22:54:36
0,0,126,524,0,0,32,3,0,7,1,11,2022-04-30,22:54:37
0,0,135,515,0,0,0,0,0,7,1,11,2022-04-30,22:54:38
1,1,134,513,0,0,0,0,1,8,1,11,2022-04-30,22:54:39
1,0,135,504,0,0,0,0,0,7,1,11,2022-04-30,22:54:40
1,0,126,515,0,0,0,0,0,7,1,11,2022-04-30,22:54:41
2,2,143,536,0,0,24,3,1,8,2,11,2022-04-30,22:54:42
0,0,131,499,0,0,0,0,0,7,1,11,2022-04-30,22:54:43
0,0,138,530,0,0,0,0,0,7,1,11,2022-04-30,22:54:44
2,1,133,512,0,0,0,0,1,8,1,11,2022-04-30,22:54:45
1,0,140,512,0,0,0,0,0,7,1,11,2022-04-30,22:54:46
