cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
0,0,83,288,0,0,24,1,0,1,0,1,2022-04-30,22:53:34
1,1,97,317,0,0,0,0,0,3,1,3,2022-04-30,22:53:35
0,0,82,276,0,0,0,0,0,2,0,2,2022-04-30,22:53:36
0,0,111,308,0,0,0,0,0,7,1,11,2022-04-30,22:53:37
2,1,115,333,0,0,40,2,0,7,1,11,2022-04-30,22:53:38
0,0,111,340,0,0,0,0,1,8,1,11,2022-04-30,22:53:39
2,1,120,341,0,0,0,0,0,7,1,11,2022-04-30,22:53:40
0,0,108,319,0,0,0,0,0,7,1,11,2022-04-30,22:53:41
0,0,114,338,0,0,0,0,1,8,1,11,2022-04-30,22:53:42
1,1,119,346,0,0,12,2,0,7,1,11,2022-04-30,22:53:43
0,0,106,333,0,0,0,0,0,7,1,11,2022-04-30,22:53:44
2,1,109,326,0,0,0,0,1,8,1,11,2022-04-30,22:53:45
1,1,110,339,0,0,0,0,0,7,1,11,2022-04-30,22:53:46
1,1,119,328,0,0,0,0,0,7,1,11,2022-04-30,22:53:47
1,0,115,338,0,0,12,2,1,8,1,11,2022-04-30,22:53:48
1,0,112,332,0,0,0,0,0,7,1,11,2022-04-30,22:53:49
1,0,114,335,0,0,0,0,0,7,1,11,2022-04-30,22:53:50
0,0,107,334,0,0,0,0,1,8,1,11,2022-04-30,22:53:51
1,0,155,377,0,0,0,0,3,17,3,20,2022-04-30,22:53:52
1,0,120,346,0,0,32,2,0,7,1,11,2022-04-30,22:53:53
1,0,112,330,0,0,4,1,1,8,1,11,2022-04-30,22:53:54
2,2,115,323,0,0,0,0,0,7,1,11,2022-04-30,22:53:55
1,1,118,343,0,0,0,0,0,7,1,11,2022-04-30,22:53:56
1,0,99,335,0,0,0,0,0,5,1,5,2022-04-30,22:53:57
0,0,98,314,0,0,12,2,0,4,1,8,2022-04-30,22:53:58
1,1,108,326,0,0,0,0,0,7,1,11,2022-04-30,22:53:59
1,0,114,334,0,0,0,0,1,8,1,11,2022-04-30,22:54:00
9,2,123,394,0,0,0,0,0,7,1,10,2022-04-30,22:54:01
1,1,110,325,0,0,0,0,0,7,1,11,2022-04-30,22:54:02
2,0,134,394,0,0,16,2,1,11,2,13,2022-04-30,22:54:03
1,0,110,333,0,0,4,1,0,7,1,11,2022-04-30,22:54:04
1,1,110,328,0,0,0,0,0,7,1,11,2022-04-30,22:54:05
1,1,104,326,0,0,0,0,1,8,1,11,2022-04-30,22:54:06
1,0,113,334,0,0,0,0,0,7,1,11,2022-04-30,22:54:07
0,0,114,349,0,0,48,3,0,7,1,11,2022-04-30,22:54:08
0,0,117,321,0,0,52,12,1,8,1,11,2022-04-30,22:54:09
1,0,111,336,0,0,0,0,0,7,1,11,2022-04-30,22:54:10
2,1,114,339,0,0,0,0,0,7,1,11,2022-04-30,22:54:11
0,0,109,323,0,0,0,0,1,8,1,11,2022-04-30,22:54:12
1,0,124,353,0,0,12,2,0,7,1,11,2022-04-30,22:54:13
2,2,106,329,0,0,0,0,0,7,1,11,2022-04-30,22:54:14
1,0,116,345,0,0,0,0,1,8,1,11,2022-04-30,22:54:15
0,0,107,316,0,0,0,0,0,7,1,11,2022-04-30,22:54:16
1,1,112,336,0,0,0,0,0,7,1,11,2022-04-30,22:54:17
2,0,162,443,0,0,12,2,1,10,1,11,2022-04-30,22:54:18
0,0,112,334,0,0,0,0,0,7,2,11,2022-04-30,22:54:19
2,0,115,349,0,0,0,0,0,7,1,11,2022-04-30,22:54:20
0,0,118,336,0,0,0,0,1,8,1,11,2022-04-30,22:54:21
1,0,106,324,0,0,0,0,0,7,1,11,2022-04-30,22:54:22
1,0,118,352,0,0,12,2,0,7,1,11,2022-04-30,22:54:23
0,0,99,323,0,0,0,0,0,3,0,3,2022-04-30,22:54:24
1,1,103,308,0,0,0,0,0,6,1,10,2022-04-30,22:54:25
1,0,111,331,0,0,0,0,0,7,1,11,2022-04-30,22:54:26
2,1,116,338,0,0,0,0,1,8,1,11,2022-04-30,22:54:27
0,0,115,344,0,0,36,2,0,7,1,11,2022-04-30,22:54:28
1,0,110,320,0,0,0,0,0,7,1,11,2022-04-30,22:54:29
1,0,117,333,0,0,0,0,1,8,1,11,2022-04-30,22:54:30
0,0,110,336,0,0,0,0,0,7,1,11,2022-04-30,22:54:31
1,1,103,333,0,0,0,0,0,7,1,11,2022-04-30,22:54:32
1,1,112,337,0,0,12,2,1,8,1,11,2022-04-30,22:54:33
1,0,107,330,0,0,28,2,0,7,1,11,2022-04-30,22:54:34
1,0,112,340,0,0,0,0,0,7,1,11,2022-04-30,22:54:35
0,0,112,322,0,0,0,0,1,8,1,11,2022-04-30,22:54:36
0,0,115,331,0,0,0,0,0,7,1,11,2022-04-30,22:54:37
1,0,116,351,0,0,24,2,0,7,1,11,2022-04-30,22:54:38
1,0,120,341,0,0,8,1,1,8,1,11,2022-04-30,22:54:39
1,0,116,336,0,0,0,0,0,7,1,11,2022-04-30,22:54:40
0,0,118,348,0,0,0,0,0,7,2,11,2022-04-30,22:54:41
1,0,107,339,0,0,0,0,1,8,1,11,2022-04-30,22:54:42
1,0,122,341,0,0,24,3,0,7,1,11,2022-04-30,22:54:43
1,1,116,340,0,0,0,0,0,7,1,11,2022-04-30,22:54:44
0,0,121,347,0,0,0,0,1,8,1,11,2022-04-30,22:54:45
1,0,107,330,0,0,0,0,0,7,1,11,2022-04-30,22:54:46
1,1,113,329,0,0,0,0,0,7,1,11,2022-04-30,22:54:47
1,0,133,362,0,0,12,2,1,8,1,11,2022-04-30,22:54:48
1,1,121,338,0,0,36,8,0,7,1,11,2022-04-30,22:54:49
1,0,100,327,0,0,0,0,0,5,1,10,2022-04-30,22:54:50
1,0,98,315,0,0,0,0,0,4,0,3,2022-04-30,22:54:51
1,0,111,322,0,0,0,0,0,7,1,11,2022-04-30,22:54:52
1,1,121,345,0,0,12,2,0,7,1,11,2022-04-30,22:54:53
1,1,115,335,0,0,0,0,1,8,1,11,2022-04-30,22:54:54
0,0,114,344,0,0,0,0,0,7,1,11,2022-04-30,22:54:55
0,0,111,331,0,0,0,0,0,7,1,11,2022-04-30,22:54:56
0,0,111,322,0,0,0,0,1,8,1,11,2022-04-30,22:54:57
1,1,121,353,0,0,12,2,0,7,1,11,2022-04-30,22:54:58
1,0,115,337,0,0,0,0,0,7,1,11,2022-04-30,22:54:59
1,0,112,328,0,0,0,0,1,8,1,11,2022-04-30,22:55:00
8,3,125,400,0,0,0,0,0,7,1,11,2022-04-30,22:55:01
1,0,114,339,0,0,0,0,0,7,1,11,2022-04-30,22:55:02
1,1,117,352,0,0,16,2,1,8,2,11,2022-04-30,22:55:03
0,0,113,333,0,0,0,0,0,7,1,11,2022-04-30,22:55:04
1,0,110,336,0,0,0,0,0,7,1,11,2022-04-30,22:55:05
1,1,107,333,0,0,0,0,1,8,1,11,2022-04-30,22:55:06
1,0,111,322,0,0,0,0,0,7,1,11,2022-04-30,22:55:07
0,0,117,346,0,0,12,2,0,7,1,11,2022-04-30,22:55:08
1,0,119,346,0,0,0,0,1,8,1,11,2022-04-30,22:55:09
1,1,114,328,0,0,0,0,0,7,1,11,2022-04-30,22:55:10
1,0,118,341,0,0,0,0,0,7,1,11,2022-04-30,22:55:11
0,0,112,341,0,0,0,0,1,8,1,11,2022-04-30,22:55:12
1,1,115,350,0,0,36,2,0,7,1,11,2022-04-30,22:55:13
1,1,112,318,0,0,8,1,0,7,1,11,2022-04-30,22:55:14
1,1,122,352,0,0,0,0,1,8,1,11,2022-04-30,22:55:15
1,1,109,327,0,0,0,0,0,7,1,11,2022-04-30,22:55:16
0,0,109,317,0,0,0,0,0,7,1,11,2022-04-30,22:55:17
1,1,101,333,0,0,24,3,0,3,1,5,2022-04-30,22:55:18
1,0,95,308,0,0,0,0,0,1,0,3,2022-04-30,22:55:19
0,0,95,301,0,0,0,0,0,2,0,2,2022-04-30,22:55:20
1,0,87,300,0,0,0,0,0,2,0,2,2022-04-30,22:55:21
0,0,84,298,0,0,0,0,0,1,0,2,2022-04-30,22:55:22
0,0,93,299,0,0,16,2,0,1,0,2,2022-04-30,22:55:23
1,1,89,295,0,0,0,0,0,3,0,3,2022-04-30,22:55:24
1,0,84,293,0,0,0,0,0,2,0,3,2022-04-30,22:55:25
0,0,83,294,0,0,0,0,0,1,0,2,2022-04-30,22:55:26
0,0,87,289,0,0,0,0,0,2,0,2,2022-04-30,22:55:27
1,1,89,313,0,0,12,2,0,1,0,2,2022-04-30,22:55:28
0,0,88,295,0,0,0,0,0,1,0,2,2022-04-30,22:55:29
1,0,78,279,0,0,0,0,0,2,0,2,2022-04-30,22:55:30
0,0,92,307,0,0,0,0,0,1,0,2,2022-04-30,22:55:31
0,0,85,294,0,0,0,0,0,1,0,2,2022-04-30,22:55:32
1,0,92,312,0,0,12,2,0,2,0,2,2022-04-30,22:55:33
0,0,86,280,0,0,56,8,0,1,0,2,2022-04-30,22:55:34
1,0,100,315,0,0,0,0,0,1,0,2,2022-04-30,22:55:35
1,1,92,310,0,0,0,0,0,4,1,6,2022-04-30,22:55:36
1,0,94,297,0,0,0,0,0,3,0,3,2022-04-30,22:55:37
1,1,114,343,0,0,24,2,0,7,1,11,2022-04-30,22:55:38
1,0,121,343,0,0,0,0,1,8,1,11,2022-04-30,22:55:39
1,0,111,328,0,0,0,0,0,7,1,11,2022-04-30,22:55:40
1,0,114,333,0,0,0,0,0,7,1,11,2022-04-30,22:55:41
1,1,119,343,0,0,0,0,1,8,1,11,2022-04-30,22:55:42
2,1,125,354,0,0,12,2,0,7,1,11,2022-04-30,22:55:43
1,0,110,323,0,0,0,0,0,7,1,11,2022-04-30,22:55:44
1,1,121,346,0,0,0,0,1,8,1,11,2022-04-30,22:55:45
2,1,113,329,0,0,0,0,0,7,1,11,2022-04-30,22:55:46
0,0,116,333,0,0,0,0,0,7,2,11,2022-04-30,22:55:47
2,1,118,356,0,0,12,2,1,8,1,11,2022-04-30,22:55:48
1,1,117,341,0,0,8,1,0,7,1,11,2022-04-30,22:55:49
2,0,121,340,0,0,0,0,1,8,1,12,2022-04-30,22:55:50
2,1,116,335,0,0,0,0,1,9,1,11,2022-04-30,22:55:51
1,0,114,341,0,0,0,0,0,7,1,11,2022-04-30,22:55:52
0,0,117,348,0,0,24,3,0,7,1,11,2022-04-30,22:55:53
2,1,119,328,0,0,0,0,1,9,1,11,2022-04-30,22:55:54
1,0,120,354,0,0,0,0,0,7,1,11,2022-04-30,22:55:55
1,0,121,341,0,0,0,0,0,7,1,11,2022-04-30,22:55:56
1,1,115,322,0,0,0,0,1,8,1,11,2022-04-30,22:55:57
1,0,120,348,0,0,12,2,0,7,1,11,2022-04-30,22:55:58
0,0,116,331,0,0,0,0,0,7,1,11,2022-04-30,22:55:59
1,0,119,342,0,0,0,0,1,8,1,11,2022-04-30,22:56:00
12,2,138,426,0,0,0,0,0,7,1,11,2022-04-30,22:56:01
1,0,110,338,0,0,0,0,0,7,1,11,2022-04-30,22:56:02
1,0,110,348,0,0,16,2,0,5,1,5,2022-04-30,22:56:03
1,0,108,313,0,0,0,0,0,6,1,10,2022-04-30,22:56:04
1,0,119,327,0,0,0,0,0,7,1,11,2022-04-30,22:56:05
1,0,117,338,0,0,0,0,1,8,1,11,2022-04-30,22:56:06
1,1,117,330,0,0,0,0,0,7,1,11,2022-04-30,22:56:07
0,0,119,362,0,0,12,2,0,7,1,11,2022-04-30,22:56:08
1,0,127,347,0,0,16,4,1,9,2,12,2022-04-30,22:56:09
1,0,114,336,0,0,0,0,0,7,1,11,2022-04-30,22:56:10
1,0,120,334,0,0,0,0,0,7,1,11,2022-04-30,22:56:11
1,1,117,342,0,0,0,0,1,8,1,11,2022-04-30,22:56:12
1,0,122,354,0,0,12,2,0,7,1,11,2022-04-30,22:56:13
1,0,113,322,0,0,0,0,0,7,1,11,2022-04-30,22:56:14
1,1,127,351,0,0,0,0,1,8,1,11,2022-04-30,22:56:15
1,0,116,332,0,0,0,0,0,7,1,11,2022-04-30,22:56:16
1,0,113,334,0,0,0,0,0,7,1,11,2022-04-30,22:56:17
0,0,117,343,0,0,12,2,1,8,1,11,2022-04-30,22:56:18
