cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
1,0,85,299,0,0,28,1,0,3,0,3,2022-04-30,00:31:35
1,1,90,314,0,0,0,0,0,5,1,5,2022-04-30,00:31:36
0,0,88,284,0,0,0,0,0,4,1,8,2022-04-30,00:31:37
0,0,76,266,0,0,0,0,0,1,0,2,2022-04-30,00:31:38
1,0,80,286,0,0,44,2,0,2,0,2,2022-04-30,00:31:39
0,0,79,293,0,0,0,0,0,1,0,2,2022-04-30,00:31:40
0,0,75,279,0,0,0,0,0,1,0,2,2022-04-30,00:31:41
0,0,71,280,0,0,0,0,0,2,0,2,2022-04-30,00:31:42
0,0,79,299,0,0,0,0,0,1,0,2,2022-04-30,00:31:43
0,0,76,284,0,0,12,2,0,1,0,2,2022-04-30,00:31:44
1,1,76,276,0,0,0,0,0,1,0,2,2022-04-30,00:31:45
0,0,74,285,0,0,0,0,0,1,0,2,2022-04-30,00:31:46
0,0,76,284,0,0,0,0,0,1,0,2,2022-04-30,00:31:47
1,0,76,288,0,0,0,0,0,2,0,2,2022-04-30,00:31:48
0,0,72,280,0,0,0,0,0,1,0,2,2022-04-30,00:31:49
1,0,75,286,0,0,12,2,0,1,0,2,2022-04-30,00:31:50
0,0,76,280,0,0,0,0,0,2,0,2,2022-04-30,00:31:51
0,0,74,280,0,0,0,0,0,1,0,2,2022-04-30,00:31:52
1,0,82,300,0,0,0,0,0,1,0,2,2022-04-30,00:31:53
0,0,60,258,0,0,0,0,0,2,0,2,2022-04-30,00:31:54
1,0,77,289,0,0,52,12,0,1,0,2,2022-04-30,00:31:55
0,0,71,281,0,0,0,0,0,1,0,2,2022-04-30,00:31:56
0,0,73,268,0,0,0,0,0,1,0,2,2022-04-30,00:31:57
0,0,76,303,0,0,0,0,0,1,0,2,2022-04-30,00:31:58
0,0,75,286,0,0,0,0,0,1,0,2,2022-04-30,00:31:59
1,0,84,300,0,0,12,2,0,2,0,2,2022-04-30,00:32:00
12,2,97,372,0,0,0,0,0,1,0,2,2022-04-30,00:32:01
0,0,71,278,0,0,0,0,0,1,0,2,2022-04-30,00:32:02
1,0,82,302,0,0,0,0,0,2,0,2,2022-04-30,00:32:03
0,0,70,266,0,0,0,0,0,1,0,2,2022-04-30,00:32:04
0,0,77,287,0,0,24,4,0,1,0,2,2022-04-30,00:32:05
1,1,74,282,0,0,0,0,0,2,0,2,2022-04-30,00:32:06
0,0,75,274,0,0,0,0,0,1,0,2,2022-04-30,00:32:07
0,0,79,295,0,0,0,0,0,1,0,2,2022-04-30,00:32:08
0,0,73,281,0,0,0,0,0,2,0,2,2022-04-30,00:32:09
0,0,66,269,0,0,24,3,0,1,0,2,2022-04-30,00:32:10
1,0,68,281,0,0,0,0,0,1,0,2,2022-04-30,00:32:11
0,0,71,278,0,0,0,0,0,2,0,2,2022-04-30,00:32:12
0,0,76,285,0,0,0,0,0,1,0,2,2022-04-30,00:32:13
1,0,69,275,0,0,0,0,0,1,0,2,2022-04-30,00:32:14
1,0,88,307,0,0,12,2,0,2,0,2,2022-04-30,00:32:15
0,0,70,270,0,0,0,0,0,1,0,2,2022-04-30,00:32:16
0,0,86,294,0,0,0,0,0,3,0,4,2022-04-30,00:32:17
0,0,78,294,0,0,0,0,0,2,0,2,2022-04-30,00:32:18
0,0,78,286,0,0,0,0,0,1,0,2,2022-04-30,00:32:19
0,0,77,293,0,0,12,2,0,1,0,2,2022-04-30,00:32:20
1,0,83,296,0,0,0,0,0,2,0,2,2022-04-30,00:32:21
0,0,73,272,0,0,0,0,0,3,0,4,2022-04-30,00:32:22
0,0,82,298,0,0,0,0,0,1,0,2,2022-04-30,00:32:23
0,0,71,278,0,0,0,0,0,2,0,2,2022-04-30,00:32:24
0,0,78,289,0,0,0,0,0,1,0,2,2022-04-30,00:32:25
1,1,79,285,0,0,12,2,0,1,0,2,2022-04-30,00:32:26
0,0,77,286,0,0,0,0,0,2,0,2,2022-04-30,00:32:27
0,0,75,286,0,0,0,0,0,1,0,2,2022-04-30,00:32:28
1,0,73,273,0,0,0,0,0,1,0,2,2022-04-30,00:32:29
0,0,70,281,0,0,0,0,0,2,0,2,2022-04-30,00:32:30
1,0,81,296,0,0,12,2,0,1,0,2,2022-04-30,00:32:31
0,0,72,279,0,0,0,0,0,1,0,2,2022-04-30,00:32:32
0,0,79,289,0,0,0,0,0,2,0,2,2022-04-30,00:32:33
0,0,71,279,0,0,0,0,0,1,0,2,2022-04-30,00:32:34
0,0,80,291,0,0,28,2,0,1,0,2,2022-04-30,00:32:35
0,0,77,282,0,0,28,2,0,2,0,2,2022-04-30,00:32:36
0,0,74,282,0,0,0,0,0,1,0,2,2022-04-30,00:32:37
1,0,79,297,0,0,0,0,0,1,0,2,2022-04-30,00:32:38
0,0,74,278,0,0,0,0,0,2,0,2,2022-04-30,00:32:39
0,0,80,291,0,0,8,1,0,1,0,2,2022-04-30,00:32:40
1,0,74,288,0,0,24,2,0,1,0,2,2022-04-30,00:32:41
0,0,66,273,0,0,0,0,0,2,0,2,2022-04-30,00:32:42
1,0,82,302,0,0,0,0,0,1,0,2,2022-04-30,00:32:43
0,0,71,277,0,0,0,0,0,1,0,2,2022-04-30,00:32:44
0,0,81,295,0,0,0,0,0,2,0,2,2022-04-30,00:32:45
1,0,70,275,0,0,12,2,0,1,0,2,2022-04-30,00:32:46
0,0,82,294,0,0,0,0,0,1,0,2,2022-04-30,00:32:47
1,0,78,292,0,0,0,0,0,2,0,2,2022-04-30,00:32:48
0,0,74,269,0,0,0,0,0,1,0,2,2022-04-30,00:32:49
0,0,73,283,0,0,0,0,0,1,0,2,2022-04-30,00:32:50
0,0,86,304,0,0,12,2,0,2,0,2,2022-04-30,00:32:51
0,0,67,261,0,0,0,0,0,1,0,2,2022-04-30,00:32:52
0,0,77,297,0,0,0,0,0,1,0,2,2022-04-30,00:32:53
1,0,71,281,0,0,0,0,0,2,0,2,2022-04-30,00:32:54
0,0,76,283,0,0,0,0,1,3,0,2,2022-04-30,00:32:55
0,0,81,298,0,0,12,2,0,1,0,2,2022-04-30,00:32:56
0,0,74,281,0,0,0,0,0,2,0,2,2022-04-30,00:32:57
2,0,111,362,0,0,0,0,0,1,0,2,2022-04-30,00:32:58
0,0,74,285,0,0,0,0,0,1,0,2,2022-04-30,00:32:59
1,0,79,289,0,0,0,0,0,2,0,2,2022-04-30,00:33:00
9,0,94,352,0,0,12,2,0,1,0,2,2022-04-30,00:33:01
0,0,72,278,0,0,0,0,0,1,0,2,2022-04-30,00:33:02
0,0,79,300,0,0,0,0,0,2,0,2,2022-04-30,00:33:03
0,0,71,284,0,0,0,0,0,1,0,2,2022-04-30,00:33:04
0,0,73,266,0,0,0,0,0,1,0,2,2022-04-30,00:33:05
0,0,75,293,0,0,16,2,0,2,0,2,2022-04-30,00:33:06
0,0,77,284,0,0,0,0,0,1,0,2,2022-04-30,00:33:07
0,0,75,279,0,0,0,0,0,1,0,2,2022-04-30,00:33:08
0,0,77,286,0,0,0,0,0,2,0,2,2022-04-30,00:33:09
0,0,80,284,0,0,28,7,0,1,0,2,2022-04-30,00:33:10
1,0,78,280,0,0,12,2,0,1,0,2,2022-04-30,00:33:11
0,0,76,283,0,0,0,0,0,2,0,2,2022-04-30,00:33:12
0,0,79,296,0,0,0,0,0,1,0,2,2022-04-30,00:33:13
0,0,70,265,0,0,0,0,0,1,0,2,2022-04-30,00:33:14
0,0,83,300,0,0,8,1,0,2,0,2,2022-04-30,00:33:15
1,0,76,291,0,0,20,2,0,1,0,2,2022-04-30,00:33:16
0,0,72,265,0,0,0,0,0,1,0,2,2022-04-30,00:33:17
0,0,75,293,0,0,0,0,0,2,0,2,2022-04-30,00:33:18
1,0,72,282,0,0,0,0,0,1,0,2,2022-04-30,00:33:19
0,0,72,282,0,0,0,0,0,1,0,2,2022-04-30,00:33:20
1,0,77,285,0,0,12,2,0,2,0,2,2022-04-30,00:33:21
0,0,73,278,0,0,0,0,0,1,0,2,2022-04-30,00:33:22
0,0,82,301,0,0,0,0,0,1,0,2,2022-04-30,00:33:23
0,0,72,272,0,0,0,0,0,2,0,2,2022-04-30,00:33:24
1,0,78,285,0,0,0,0,0,1,0,2,2022-04-30,00:33:25
0,0,82,309,0,0,12,2,0,1,0,2,2022-04-30,00:33:26
0,0,70,270,0,0,0,0,0,2,0,2,2022-04-30,00:33:27
1,0,76,296,0,0,0,0,0,1,0,2,2022-04-30,00:33:28
0,0,73,277,0,0,0,0,0,1,0,2,2022-04-30,00:33:29
0,0,72,272,0,0,0,0,0,2,0,2,2022-04-30,00:33:30
1,1,76,293,0,0,12,2,0,1,0,2,2022-04-30,00:33:31
0,0,75,279,0,0,0,0,0,1,0,2,2022-04-30,00:33:32
0,0,76,284,0,0,0,0,0,2,0,2,2022-04-30,00:33:33
0,0,71,277,0,0,0,0,0,1,0,2,2022-04-30,00:33:34
1,0,74,281,0,0,28,1,0,1,0,2,2022-04-30,00:33:35
1,0,89,319,0,0,28,2,1,8,1,11,2022-04-30,00:33:36
0,0,88,295,0,0,0,0,0,1,0,2,2022-04-30,00:33:37
0,0,74,287,0,0,0,0,0,1,0,1,2022-04-30,00:33:38
0,0,80,290,0,0,0,0,0,2,0,2,2022-04-30,00:33:39
1,0,75,275,0,0,0,0,0,1,0,2,2022-04-30,00:33:40
0,0,79,294,0,0,12,2,0,1,0,2,2022-04-30,00:33:41
1,0,71,279,0,0,0,0,0,2,0,2,2022-04-30,00:33:42
0,0,80,290,0,0,0,0,0,1,0,2,2022-04-30,00:33:43
1,0,71,273,0,0,0,0,0,1,0,2,2022-04-30,00:33:44
0,0,84,302,0,0,0,0,0,2,0,2,2022-04-30,00:33:45
1,0,70,285,0,0,12,2,0,1,0,2,2022-04-30,00:33:46
0,0,75,276,0,0,0,0,0,1,0,2,2022-04-30,00:33:47
0,0,75,301,0,0,0,0,0,2,0,2,2022-04-30,00:33:48
0,0,75,284,0,0,0,0,0,2,0,2,2022-04-30,00:33:49
1,0,73,265,0,0,20,4,0,2,0,2,2022-04-30,00:33:50
0,0,82,298,0,0,20,2,0,3,0,2,2022-04-30,00:33:51
0,0,70,275,0,0,0,0,0,1,0,2,2022-04-30,00:33:52
1,0,78,287,0,0,0,0,0,1,0,2,2022-04-30,00:33:53
0,0,67,276,0,0,0,0,0,2,0,2,2022-04-30,00:33:54
1,0,70,284,0,0,0,0,0,1,0,2,2022-04-30,00:33:55
1,1,72,281,0,0,12,2,0,1,0,2,2022-04-30,00:33:56
0,0,77,283,0,0,0,0,0,3,0,2,2022-04-30,00:33:57
0,0,72,288,0,0,0,0,0,2,0,2,2022-04-30,00:33:58
1,0,78,276,0,0,0,0,0,2,0,2,2022-04-30,00:33:59
1,0,73,286,0,0,0,0,0,2,0,2,2022-04-30,00:34:00
8,0,97,374,0,0,12,2,0,1,0,2,2022-04-30,00:34:01
0,0,69,276,0,0,0,0,0,1,0,2,2022-04-30,00:34:02
0,0,82,291,0,0,0,0,0,2,0,2,2022-04-30,00:34:03
0,0,71,274,0,0,0,0,0,1,0,2,2022-04-30,00:34:04
0,0,78,283,0,0,0,0,0,1,0,2,2022-04-30,00:34:05
0,0,80,289,0,0,16,2,0,4,0,2,2022-04-30,00:34:06
0,0,80,287,0,0,0,0,0,1,0,2,2022-04-30,00:34:07
0,0,73,289,0,0,0,0,0,1,0,2,2022-04-30,00:34:08
