cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
4,1,2255,3981,16,4,1634,62,0,1,0,1,2022-04-30,23:26:58
6,3,2608,4740,76,3,0,0,0,2,0,1,2022-04-30,23:26:59
11,6,3047,5511,2100,523,602,20,0,1,0,1,2022-04-30,23:27:00
4,2,2234,3884,68,17,0,0,1,10,1,8,2022-04-30,23:27:01
10,4,3672,7502,532,103,356,32,2,11,2,10,2022-04-30,23:27:02
2,1,2079,3664,12,3,0,0,0,1,0,1,2022-04-30,23:27:03
3,2,1855,3207,12,3,0,0,0,1,0,1,2022-04-30,23:27:04
5,3,2405,4222,0,0,1748,85,0,2,0,1,2022-04-30,23:27:05
4,2,2165,3575,60,15,2448,90,1,4,1,5,2022-04-30,23:27:06
5,2,2659,4962,8,2,0,0,0,1,0,1,2022-04-30,23:27:07
4,2,2148,3908,12,3,0,0,0,2,0,1,2022-04-30,23:27:08
4,2,2067,3750,4,1,28,5,0,1,0,1,2022-04-30,23:27:09
5,1,2032,3594,12,3,548,12,0,1,0,1,2022-04-30,23:27:10
4,2,2248,4135,24,6,0,0,0,2,0,1,2022-04-30,23:27:11
4,2,2246,4258,0,0,0,0,0,1,0,1,2022-04-30,23:27:12
5,3,2642,5114,336,26,168,6,0,1,0,1,2022-04-30,23:27:13
4,1,1901,3375,0,0,0,0,0,2,0,1,2022-04-30,23:27:14
4,2,1925,3545,8,2,148,12,0,1,0,1,2022-04-30,23:27:15
2,1,1787,3273,72,18,0,0,0,3,0,3,2022-04-30,23:27:16
5,2,2467,4726,20,4,0,0,0,2,0,1,2022-04-30,23:27:17
4,2,2085,3676,12,3,0,0,0,1,0,1,2022-04-30,23:27:18
3,2,2125,3808,32,8,24,5,0,1,0,1,2022-04-30,23:27:19
6,3,2512,4653,0,0,1191,144,0,2,0,1,2022-04-30,23:27:20
8,3,2144,3746,68,17,0,0,0,1,0,1,2022-04-30,23:27:21
3,1,1873,3226,0,0,0,0,0,1,0,1,2022-04-30,23:27:22
8,6,4167,8433,7952,309,1416,193,0,2,0,1,2022-04-30,23:27:23
4,2,1967,3323,4,1,0,0,0,1,0,1,2022-04-30,23:27:24
3,1,2156,3801,20,5,344,54,0,1,0,1,2022-04-30,23:27:25
