cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
2,1,116,486,0,0,0,0,0,4,0,3,2022-04-30,01:11:18
2,2,117,507,0,0,0,0,0,3,1,3,2022-04-30,01:11:19
1,0,128,499,0,0,0,0,1,9,1,10,2022-04-30,01:11:20
1,1,106,469,0,0,64,2,0,3,0,2,2022-04-30,01:11:21
0,0,106,460,0,0,0,0,0,2,0,2,2022-04-30,01:11:22
0,0,98,455,0,0,0,0,0,1,0,2,2022-04-30,01:11:23
0,0,114,489,0,0,0,0,0,2,0,2,2022-04-30,01:11:24
1,0,139,534,0,0,0,0,0,1,0,2,2022-04-30,01:11:25
0,0,108,470,0,0,0,0,0,1,0,2,2022-04-30,01:11:26
0,0,108,479,0,0,12,2,0,2,0,2,2022-04-30,01:11:27
0,0,105,429,0,0,0,0,0,1,0,2,2022-04-30,01:11:28
0,0,105,473,0,0,0,0,0,1,0,2,2022-04-30,01:11:29
1,0,101,467,0,0,0,0,0,2,0,2,2022-04-30,01:11:30
1,1,104,473,0,0,28,1,0,1,0,2,2022-04-30,01:11:31
0,0,100,461,0,0,24,2,0,1,0,2,2022-04-30,01:11:32
0,0,95,449,0,0,0,0,0,3,0,3,2022-04-30,01:11:33
0,0,101,473,0,0,0,0,0,1,0,2,2022-04-30,01:11:34
0,0,92,453,0,0,0,0,0,1,0,2,2022-04-30,01:11:35
0,0,103,460,0,0,76,18,0,2,0,2,2022-04-30,01:11:36
0,0,96,461,0,0,12,2,0,1,0,2,2022-04-30,01:11:37
0,0,94,450,0,0,0,0,0,1,0,2,2022-04-30,01:11:38
0,0,98,469,0,0,0,0,0,4,0,2,2022-04-30,01:11:39
0,0,108,474,0,0,0,0,0,3,0,2,2022-04-30,01:11:40
1,0,101,469,0,0,0,0,0,2,0,2,2022-04-30,01:11:41
0,0,107,471,0,0,12,2,0,3,0,2,2022-04-30,01:11:42
0,0,99,456,0,0,0,0,0,1,0,2,2022-04-30,01:11:43
0,0,111,494,0,0,0,0,0,1,0,2,2022-04-30,01:11:44
0,0,107,476,0,0,0,0,1,4,0,2,2022-04-30,01:11:45
0,0,113,476,0,0,0,0,0,1,0,2,2022-04-30,01:11:46
1,0,103,463,0,0,0,0,0,1,0,2,2022-04-30,01:11:47
0,0,109,476,0,0,12,2,0,2,0,2,2022-04-30,01:11:48
0,0,107,484,0,0,0,0,0,1,0,2,2022-04-30,01:11:49
0,0,103,457,0,0,0,0,0,1,0,2,2022-04-30,01:11:50
0,0,101,463,0,0,8,2,0,2,0,2,2022-04-30,01:11:51
1,0,106,462,0,0,0,0,0,1,0,2,2022-04-30,01:11:52
0,0,106,473,0,0,24,3,0,1,0,2,2022-04-30,01:11:53
1,0,106,474,0,0,0,0,0,2,0,2,2022-04-30,01:11:54
0,0,105,467,0,0,0,0,0,1,0,2,2022-04-30,01:11:55
0,0,104,467,0,0,0,0,0,1,0,2,2022-04-30,01:11:56
0,0,104,461,0,0,0,0,0,2,0,2,2022-04-30,01:11:57
0,0,106,477,0,0,12,2,0,1,0,2,2022-04-30,01:11:58
0,0,108,477,0,0,0,0,0,2,0,2,2022-04-30,01:11:59
0,0,103,460,0,0,0,0,0,4,0,2,2022-04-30,01:12:00
9,0,130,542,0,0,0,0,0,3,0,2,2022-04-30,01:12:01
0,0,104,464,0,0,0,0,0,2,0,2,2022-04-30,01:12:02
0,0,107,477,0,0,16,2,0,3,1,3,2022-04-30,01:12:03
0,0,109,483,0,0,0,0,0,1,0,2,2022-04-30,01:12:04
0,0,107,475,0,0,0,0,0,1,0,2,2022-04-30,01:12:05
0,0,112,475,0,0,0,0,0,2,0,2,2022-04-30,01:12:06
1,0,101,457,0,0,0,0,0,1,0,2,2022-04-30,01:12:07
0,0,109,480,0,0,12,2,0,1,0,2,2022-04-30,01:12:08
0,0,105,480,0,0,0,0,0,2,0,2,2022-04-30,01:12:09
0,0,100,461,0,0,0,0,0,1,0,2,2022-04-30,01:12:10
2,1,104,472,0,0,0,0,0,1,0,2,2022-04-30,01:12:11
0,0,108,474,0,0,0,0,0,2,0,2,2022-04-30,01:12:12
0,0,111,453,0,0,12,2,0,1,0,2,2022-04-30,01:12:13
0,0,114,458,0,0,0,0,0,1,0,2,2022-04-30,01:12:14
1,0,110,479,0,0,0,0,0,2,0,2,2022-04-30,01:12:15
0,0,105,468,0,0,12,3,0,1,0,2,2022-04-30,01:12:16
0,0,100,459,0,0,0,0,0,1,0,2,2022-04-30,01:12:17
0,0,106,478,0,0,12,2,0,2,0,2,2022-04-30,01:12:18
0,0,102,472,0,0,0,0,0,2,0,2,2022-04-30,01:12:19
0,0,109,463,0,0,0,0,0,3,0,2,2022-04-30,01:12:20
1,0,108,478,0,0,0,0,0,4,0,2,2022-04-30,01:12:21
0,0,101,456,0,0,0,0,0,2,0,2,2022-04-30,01:12:22
0,0,102,464,0,0,12,2,0,1,0,2,2022-04-30,01:12:23
0,0,107,472,0,0,0,0,0,2,0,2,2022-04-30,01:12:24
1,0,106,482,0,0,0,0,0,1,0,2,2022-04-30,01:12:25
1,1,109,467,0,0,8,1,0,1,0,2,2022-04-30,01:12:26
0,0,105,462,0,0,0,0,0,2,0,2,2022-04-30,01:12:27
0,0,109,478,0,0,24,3,0,1,0,2,2022-04-30,01:12:28
0,0,102,471,0,0,0,0,0,1,0,2,2022-04-30,01:12:29
0,0,101,461,0,0,0,0,0,2,0,2,2022-04-30,01:12:30
0,0,111,485,0,0,28,1,0,1,0,2,2022-04-30,01:12:31
0,0,101,461,0,0,0,0,0,1,0,2,2022-04-30,01:12:32
1,0,99,462,0,0,24,2,0,3,0,3,2022-04-30,01:12:33
0,0,107,480,0,0,0,0,0,1,0,2,2022-04-30,01:12:34
0,0,103,469,0,0,0,0,0,1,0,2,2022-04-30,01:12:35
1,0,105,455,0,0,0,0,0,2,0,2,2022-04-30,01:12:36
0,0,96,449,0,0,0,0,0,1,0,2,2022-04-30,01:12:37
0,0,103,455,0,0,12,2,0,1,0,2,2022-04-30,01:12:38
0,0,102,473,0,0,0,0,0,3,0,2,2022-04-30,01:12:39
0,0,101,446,0,0,0,0,0,3,0,2,2022-04-30,01:12:40
1,0,101,460,0,0,0,0,0,3,0,2,2022-04-30,01:12:41
0,0,109,469,0,0,0,0,0,3,0,2,2022-04-30,01:12:42
0,0,104,463,0,0,12,2,0,1,0,2,2022-04-30,01:12:43
0,0,115,488,0,0,0,0,0,1,0,2,2022-04-30,01:12:44
0,0,103,474,0,0,0,0,0,2,0,2,2022-04-30,01:12:45
0,0,108,471,0,0,0,0,0,1,0,2,2022-04-30,01:12:46
0,0,99,468,0,0,0,0,0,1,0,2,2022-04-30,01:12:47
0,0,109,477,0,0,0,0,0,2,0,2,2022-04-30,01:12:48
1,0,110,481,0,0,12,2,0,1,0,2,2022-04-30,01:12:49
0,0,105,461,0,0,0,0,0,1,0,2,2022-04-30,01:12:50
0,0,102,474,0,0,0,0,0,2,0,2,2022-04-30,01:12:51
1,0,107,462,0,0,0,0,0,1,0,2,2022-04-30,01:12:52
0,0,101,455,0,0,0,0,0,1,0,2,2022-04-30,01:12:53
0,0,110,487,0,0,12,2,0,2,0,2,2022-04-30,01:12:54
0,0,108,473,0,0,0,0,0,3,0,2,2022-04-30,01:12:55
0,0,101,459,0,0,0,0,0,1,0,2,2022-04-30,01:12:56
0,0,100,457,0,0,0,0,0,2,0,2,2022-04-30,01:12:57
0,0,104,458,0,0,0,0,0,1,0,2,2022-04-30,01:12:58
0,0,108,492,0,0,12,2,0,2,0,2,2022-04-30,01:12:59
1,0,106,465,0,0,0,0,0,4,0,2,2022-04-30,01:13:00
7,0,128,536,0,0,12,2,0,3,0,2,2022-04-30,01:13:01
0,0,106,464,0,0,0,0,0,2,0,2,2022-04-30,01:13:02
1,0,106,461,0,0,0,0,0,3,0,3,2022-04-30,01:13:03
0,0,111,481,0,0,28,3,0,2,0,3,2022-04-30,01:13:04
0,0,106,476,0,0,0,0,0,1,0,2,2022-04-30,01:13:05
0,0,110,474,0,0,0,0,0,2,0,2,2022-04-30,01:13:06
0,0,103,464,0,0,0,0,0,1,0,2,2022-04-30,01:13:07
0,0,102,468,0,0,0,0,0,1,0,2,2022-04-30,01:13:08
0,0,113,497,0,0,12,2,0,2,0,2,2022-04-30,01:13:09
1,0,100,457,0,0,0,0,0,1,0,2,2022-04-30,01:13:10
0,0,105,478,0,0,0,0,0,1,0,2,2022-04-30,01:13:11
0,0,101,460,0,0,0,0,0,2,0,2,2022-04-30,01:13:12
0,0,104,459,0,0,0,0,0,1,0,2,2022-04-30,01:13:13
0,0,110,490,0,0,12,2,0,1,0,2,2022-04-30,01:13:14
0,0,108,480,0,0,0,0,0,2,0,2,2022-04-30,01:13:15
1,0,103,463,0,0,0,0,0,1,0,2,2022-04-30,01:13:16
0,0,105,464,0,0,0,0,0,1,0,2,2022-04-30,01:13:17
0,0,100,466,0,0,0,0,0,2,0,2,2022-04-30,01:13:18
0,0,115,486,0,0,12,2,0,2,0,2,2022-04-30,01:13:19
0,0,105,462,0,0,0,0,0,3,0,2,2022-04-30,01:13:20
1,0,112,479,0,0,0,0,0,4,0,2,2022-04-30,01:13:21
0,0,98,451,0,0,0,0,0,2,0,2,2022-04-30,01:13:22
0,0,102,462,0,0,0,0,0,1,0,2,2022-04-30,01:13:23
0,0,105,488,0,0,12,2,0,2,0,2,2022-04-30,01:13:24
1,0,140,545,0,0,0,0,0,1,0,2,2022-04-30,01:13:25
