cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
3,1,2099,3660,60,12,44,8,0,1,0,0,2022-04-30,01:11:17
3,1,2301,4207,104,6,0,0,0,2,0,1,2022-04-30,01:11:18
4,2,2055,3545,36,5,0,0,1,6,1,6,2022-04-30,01:11:19
20,14,6970,8794,17359,1847,9650,2052,2,17,1,10,2022-04-30,01:11:20
16,7,4223,7624,7028,950,264,28,1,5,2,5,2022-04-30,01:11:21
10,7,4128,5713,1448,39,12120,2079,0,2,0,1,2022-04-30,01:11:22
4,1,2247,3944,56,10,0,0,0,1,0,1,2022-04-30,01:11:23
4,2,2323,4057,32,5,0,0,0,2,0,1,2022-04-30,01:11:24
2,0,1951,3365,16,2,96,3,0,1,0,1,2022-04-30,01:11:25
3,2,2227,4101,16,4,0,0,0,1,0,1,2022-04-30,01:11:26
4,1,2094,3875,32,6,276,53,0,2,0,1,2022-04-30,01:11:27
4,1,2274,4094,24,2,0,0,0,1,0,1,2022-04-30,01:11:28
3,1,2001,3394,24,6,0,0,0,2,0,2,2022-04-30,01:11:29
5,2,2224,3844,176,31,500,13,0,2,0,1,2022-04-30,01:11:30
3,1,2265,4094,20,4,0,0,0,2,0,2,2022-04-30,01:11:31
5,3,3440,6630,633,27,541,82,0,1,0,1,2022-04-30,01:11:32
3,1,2181,3996,8,2,0,0,0,2,0,1,2022-04-30,01:11:33
4,2,2265,4007,36,5,0,0,0,1,0,1,2022-04-30,01:11:34
3,1,2059,3412,48,12,88,3,0,1,0,1,2022-04-30,01:11:35
4,2,2379,4201,8,2,0,0,0,2,0,1,2022-04-30,01:11:36
4,2,2277,3856,16,4,0,0,0,1,0,1,2022-04-30,01:11:37
3,1,2411,4283,56,9,0,0,0,1,0,1,2022-04-30,01:11:38
5,2,2431,3940,1211,284,0,0,0,5,0,2,2022-04-30,01:11:39
4,2,2439,4830,20,5,580,21,0,3,0,1,2022-04-30,01:11:40
28,17,3426,6681,968,34,17280,2033,0,3,0,2,2022-04-30,01:11:41
6,3,3094,5839,681,37,228,11,0,3,0,1,2022-04-30,01:11:42
3,2,2190,3935,20,4,0,0,0,1,0,1,2022-04-30,01:11:43
6,4,3008,4998,2761,411,36,5,1,4,1,5,2022-04-30,01:11:44
3,1,2030,3615,0,0,216,9,1,4,0,1,2022-04-30,01:11:45
3,1,2013,3652,12,3,0,0,0,1,0,1,2022-04-30,01:11:46
4,2,2053,3735,632,22,0,0,0,1,0,1,2022-04-30,01:11:47
